ID,MS,Mp,VFN,Mh,Man,MMS,TAN,T,Va,Ve,Mk,Cn,Ct,Cr,m (kg),Mt,Enedc (g/km),Ewltp (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW),z (Wh/km),It,Ernedc (g/km),Erwltp (g/km),De,Vf,r
123550,AT,RENAULT,,RENAULT,RENAULT SAS,RENAULT S.A.S.,E2*2007/46*0574*02,RFA,RH2,A46RVA017000,RENAULT,SCENIC,M1,,1676,,119,,2804,1602,1596,DIESEL,M,1598,96,,,,,,,2
123556,AT,RENAULT,,RENAULT,RENAULT SAS,RENAULT S.A.S.,E2*2007/46*0574*02,RFA,RH2,A46RVA017000,RENAULT,SCENIC,M1,,1676,,119,,2804,1602,1596,DIESEL,M,1598,96,,,,,,,1
123926,AT,RENAULT,,RENAULT,RENAULT SAS,RENAULT S.A.S.,E2*2001/116*0327*83,R,2R05,2R0515,RENAULT,CAPTUR,M1,,1248,,113,,2606,1531,1516,PETROL,M,898,66,,,,,,,6
123936,AT,RENAULT,,RENAULT,RENAULT SAS,RENAULT S.A.S.,E2*2001/116*0327*83,R,2R05,2R0515,RENAULT,CAPTUR,M1,,1248,,113,,2606,1531,1516,PETROL,M,898,66,,,,,,,21
123943,AT,RENAULT,,RENAULT,RENAULT SAS,RENAULT S.A.S.,E2*2001/116*0327*83,R,2R05,2R0515,RENAULT,CAPTUR,M1,,1248,,113,,2606,1531,1516,PETROL,M,898,66,,,,,,,20
132596,AT,,,OPEL AUTOMOBILE,OPEL AUTOMOBILE GMBH,OPEL AUTOMOBILE GMBH,e4*2007/46*0204*31,P-J/SW,EAEHC12,BX2N4FPHJ5,OPEL,ZAFIRA TOURER,M1,,1701,,125,,2760,1577,1577,Diesel,M,1598,88,,,,,,,10
132603,AT,,,OPEL AUTOMOBILE,OPEL AUTOMOBILE GMBH,OPEL AUTOMOBILE GMBH,e4*2007/46*0204*32,P-J/SW,EAEHC12,BX2P3FPHA7,OPEL,ZAFIRA TOURER,M1,,1701,,119,,2760,1577,1577,Diesel,M,1598,88,,,,,,,4
132612,AT,,,OPEL AUTOMOBILE,OPEL AUTOMOBILE GMBH,OPEL AUTOMOBILE GMBH,e4*2007/46*0204*31,P-J/SW,EAEHC12,BX2P3FPHJ7,OPEL,ZAFIRA TOURER,M1,,1701,,125,,2760,1577,1577,Diesel,M,1598,88,,,,,,,6
132620,AT,,,OPEL AUTOMOBILE,OPEL AUTOMOBILE GMBH,OPEL AUTOMOBILE GMBH,e4*2007/46*0204*32,P-J/SW,EAEHC12,BX2P3FPHJ7,OPEL,ZAFIRA TOURER,M1,,1701,,125,,2760,1577,1577,Diesel,M,1598,88,,,,,,,2
132628,AT,,,OPEL AUTOMOBILE,OPEL AUTOMOBILE GMBH,OPEL AUTOMOBILE GMBH,e4*2007/46*0204*32,P-J/SW,EAEHC12,BX2R2FPHA7,OPEL,ZAFIRA TOURER,M1,,1701,,119,,2760,1577,1577,Diesel,M,1598,88,,,,,,,1
132635,AT,,,OPEL AUTOMOBILE,OPEL AUTOMOBILE GMBH,OPEL AUTOMOBILE GMBH,e4*2007/46*0204*30,P-J/SW,EAELA12,BA2N4JKWA5,OPEL,ZAFIRA TOURER,M1,,1701,,129,,2760,1577,1577,NG-biomethane,M,1598,110,,,,,,,2
132643,AT,,,OPEL AUTOMOBILE,OPEL AUTOMOBILE GMBH,OPEL AUTOMOBILE GMBH,e4*2007/46*0204*32,P-J/SW,EAELA12,BX2P3JKWA7,OPEL,ZAFIRA TOURER,M1,,1701,,129,,2760,1577,1577,NG-biomethane,M,1598,110,,,,,,,1
132651,AT,,,OPEL AUTOMOBILE,OPEL AUTOMOBILE GMBH,OPEL AUTOMOBILE GMBH,e4*2007/46*0204*31,P-J/SW,EAELA12,BX2P3JKWJ7,OPEL,ZAFIRA TOURER,M1,,1701,,136,,2760,1577,1577,NG-biomethane,M,1598,110,,,,,,,3
132657,AT,,,OPEL AUTOMOBILE,OPEL AUTOMOBILE GMBH,OPEL AUTOMOBILE GMBH,e4*2007/46*0204*32,P-J/SW,EAELA12,BX2P3JKWJ7,OPEL,ZAFIRA TOURER,M1,,1701,,136,,2760,1577,1577,NG-biomethane,M,1598,110,,,,,,,1
132664,AT,,,OPEL AUTOMOBILE,OPEL AUTOMOBILE GMBH,OPEL AUTOMOBILE GMBH,e4*2007/46*0204*31,P-J/SW,EAENC12,BH2N4JBWJ5,OPEL,ZAFIRA TOURER,M1,,1664,,164,,2760,1577,1577,Petrol,M,1598,147,,e1 19,1.3,,,,1
132672,AT,,,OPEL AUTOMOBILE,OPEL AUTOMOBILE GMBH,OPEL AUTOMOBILE GMBH,e4*2007/46*0204*32,P-J/SW,EAENC12,BH2N4JBWJ7,OPEL,ZAFIRA TOURER,M1,,1664,,164,,2760,1577,1577,Petrol,M,1598,147,,e1 19,1.3,,,,1
132678,AT,,,OPEL AUTOMOBILE,OPEL AUTOMOBILE GMBH,OPEL AUTOMOBILE GMBH,e4*2007/46*0204*32,P-J/SW,EAETA12,BX2N4ADGA5,OPEL,ZAFIRA TOURER,M1,,1701,,171,,2760,1577,1577,Petrol,M,1598,125,,,,,,,1
132687,AT,,,OPEL AUTOMOBILE,OPEL AUTOMOBILE GMBH,OPEL AUTOMOBILE GMBH,e4*2007/46*0204*32,P-J/SW,EAETA12,BX2N4ADGA7,OPEL,ZAFIRA TOURER,M1,,1701,,171,,2760,1577,1577,Petrol,M,1598,125,,,,,,,1
132696,AT,,,OPEL AUTOMOBILE,OPEL AUTOMOBILE GMBH,OPEL AUTOMOBILE GMBH,e4*2007/46*0204*30,P-J/SW,EAEWC12,BA2P3FPHA5,OPEL,ZAFIRA TOURER,M1,,1701,,119,,2760,1577,1577,Diesel,M,1598,99,,,,,,,1
132705,AT,,,OPEL AUTOMOBILE,OPEL AUTOMOBILE GMBH,OPEL AUTOMOBILE GMBH,e4*2007/46*0204*30,P-J/SW,EAEWC12,BA2R2FPHA5,OPEL,ZAFIRA TOURER,M1,,1701,,119,,2760,1577,1577,Diesel,M,1598,99,,,,,,,2
132710,AT,,,OPEL AUTOMOBILE,OPEL AUTOMOBILE GMBH,OPEL AUTOMOBILE GMBH,e4*2007/46*0204*31,P-J/SW,EAEWC12,BH2N4FPHA5,OPEL,ZAFIRA TOURER,M1,,1701,,119,,2760,1577,1577,Diesel,M,1598,99,,e1 19,1.1,,,,6
132718,AT,,,OPEL AUTOMOBILE,OPEL AUTOMOBILE GMBH,OPEL AUTOMOBILE GMBH,e4*2007/46*0204*32,P-J/SW,EAEWC12,BH2N4FPHA5,OPEL,ZAFIRA TOURER,M1,,1701,,119,,2760,1577,1577,Diesel,M,1598,99,,e1 19,1.1,,,,2
132729,AT,,,OPEL AUTOMOBILE,OPEL AUTOMOBILE GMBH,OPEL AUTOMOBILE GMBH,e4*2007/46*0204*31,P-J/SW,EAEWC12,BH2P3FPHA5,OPEL,ZAFIRA TOURER,M1,,1701,,119,,2760,1577,1577,Diesel,M,1598,99,,e1 19,1.1,,,,1
132738,AT,,,OPEL AUTOMOBILE,OPEL AUTOMOBILE GMBH,OPEL AUTOMOBILE GMBH,e4*2007/46*0204*32,P-J/SW,EAEWC12,BH2P3FPHA5,OPEL,ZAFIRA TOURER,M1,,1701,,119,,2760,1577,1577,Diesel,M,1598,99,,e1 19,1.1,,,,1
132744,AT,,,OPEL AUTOMOBILE,OPEL AUTOMOBILE GMBH,OPEL AUTOMOBILE GMBH,e4*2007/46*0204*32,P-J/SW,EAEWC12,BH2P3FPHA7,OPEL,ZAFIRA TOURER,M1,,1701,,119,,2760,1577,1577,Diesel,M,1598,99,,e1 19,1.1,,,,2
