ID,MS,Mp,VFN,Mh,Man,MMS,TAN,T,Va,Ve,Mk,Cn,Ct,Cr,m (kg),Mt,Enedc (g/km),Ewltp (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW),z (Wh/km),It,Ernedc (g/km),Erwltp (g/km),De,Vf,r
1356719,BG,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2001/116*0211*43,1T,DFGAAC,FM6FM62Q0287MMS50VR261,VOLKSWAGEN,TOURAN,M1,M1,1552,,119,,2786,1561,1534,DIESEL,M,1968,110,,,,,,,1
1351657,BG,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2001/116*0307*47,3C,AADCXAX0,FM6FM62S033SV7MMVR263,VOLKSWAGEN,PASSAT,M1,M1,1444,,105,,2786,1578,1562,DIESEL,M,1598,88,,,,,,,1
1352181,BG,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2001/116*0307*47,3C,ACDFCAX1,AD6AD6D9003SV7MMVR262,VOLKSWAGEN,PASSAT,M1,M1,1614,,135,,2786,1578,1562,DIESEL,M,1968,140,,,,,,,1
1347499,BG,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2007/46*0623*27,AU,GAC4CHHAX0,FM6FM62Q037S7MMON1ML72VR2,VOLKSWAGEN,GOLF,M1,M1,1386,,148,,2626,1533,1503,PETROL,M,1984,169,,,,,,,1
1345465,BG,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2007/46*0539*21,16,ABCYVDX0,FD7FD7AM006LLN617MMVIVR2,VOLKSWAGEN,BEETLE,M1,M1,1340,,121,,2540,1571,1543,PETROL,M,1197,77,,,,,,,1
1355914,BG,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2001/116*0450*30,5N,ACDFHAX1,NAD7AD7DL003GN5NVR27MM61,VOLKSWAGEN,TIGUAN,M1,M1,1723,,149,,2677,1576,1566,DIESEL,M,1968,140,,,,,,,1
1355729,BG,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2001/116*0450*30,5N,ACDFGAX1,NAD7AD7DL003GN5NVR27MM61,VOLKSWAGEN,TIGUAN,M1,M1,1673,,149,,2677,1576,1566,DIESEL,M,1968,110,,,,,,,1
1356346,BG,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2001/116*0211*42,1T,CYVBAC,FM6FM6AJ0147MMS50VR261,VOLKSWAGEN,TOURAN,M1,M1,1436,,128,,2786,1561,1534,PETROL,M,1197,81,,,,,,,1
1349062,BG,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2007/46*0539*22,16,AACUUAX0,FM5FM5A4051LLN617MMN1VR2,VOLKSWAGEN,JETTA,M1,M1,1395,,107,,2648,1527,1530,DIESEL,M,1968,81,,,,,,,1
1350767,BG,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2001/116*0307*47,3C,AACJSAX0,FD7FD7CW005SV7MMVR261,VOLKSWAGEN,PASSAT,M1,M1,1480,,129,,2786,1578,1562,PETROL,M,1798,132,,,,,,,1
1351464,BG,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2001/116*0307*47,3C,AACUAAX1,AD7AD7DL001SH7MMVR265,VOLKSWAGEN,PASSAT,M1,M1,1721,,144,,2786,1578,1562,DIESEL,M,1968,176,,,,,,,1
