ID,MS,Mp,VFN,Mh,Man,MMS,TAN,T,Va,Ve,Mk,Cn,Ct,Cr,m (kg),Mt,Enedc (g/km),Ewltp (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW),z (Wh/km),It,Ernedc (g/km),Erwltp (g/km),De,Vf,r
2005735,CY,,,SSANGYONG,SSANGYONG MOTOR COMPANY,SSANGYONG,e9*2007/46*6294*03,XK,AU2R,CUB41,SSANGYONG,SSANGYONG TIVOLI,M1,,1497,,146,,2600,1555,1555,Diesel,M,1597,,,,,,,,1
2005741,CY,,,SSANGYONG,SSANGYONG MOTOR COMPANY,SSANGYONG,e9*2007/46*6294*03,XK,AU2R,CUB41,SSANGYONG,SSANGYONG TIVOLI,M1,,1497,,146,,2600,1555,1555,Diesel,M,1597,,,,,,,,1
2005746,CY,,,SSANGYONG,SSANGYONG MOTOR COMPANY,SSANGYONG,e9*2007/46*6294*03,XK,AU2R,CUB41,SSANGYONG,SSANGYONG TIVOLI,M1,,1497,,146,,2600,1555,1555,Diesel,M,1597,,,,,,,,1
2005750,CY,,,SSANGYONG,SSANGYONG MOTOR COMPANY,SSANGYONG,e9*2007/46*6294*03,XK,AU2R,CUB41,SSANGYONG,SSANGYONG TIVOLI,M1,,1497,,146,,2600,1555,1555,Diesel,M,1597,,,,,,,,1
2005756,CY,,,SSANGYONG,SSANGYONG MOTOR COMPANY,SSANGYONG,e9*2007/46*6294*03,XK,AU2R,CUB41,SSANGYONG,SSANGYONG TIVOLI,M1,,1497,,146,,2600,1555,1555,Diesel,M,1597,,,,,,,,1
2005763,CY,,,SSANGYONG,SSANGYONG MOTOR COMPANY,SSANGYONG,e9*2007/46*6294*03,XK,AU2R,CUB41,SSANGYONG,SSANGYONG TIVOLI,M1,,1497,,146,,2600,1555,1555,Diesel,M,1597,,,,,,,,1
2005770,CY,,,SSANGYONG,SSANGYONG MOTOR COMPANY,SSANGYONG,e9*2007/46*6294*03,XK,AU2R,CUB41,SSANGYONG,SSANGYONG TIVOLI,M1,,1497,,146,,2600,1555,1555,Diesel,M,1597,,,,,,,,1
2005777,CY,,,SSANGYONG,SSANGYONG MOTOR COMPANY,SSANGYONG,e9*2007/46*6294*03,XK,AU2R,CUB41,SSANGYONG,SSANGYONG TIVOLI,M1,,1497,,146,,2600,1555,1555,Diesel,M,1597,,,,,,,,1
2005785,CY,,,SSANGYONG,SSANGYONG MOTOR COMPANY,SSANGYONG,e9*2007/46*6294*03,XK,AU2R,CUB41,SSANGYONG,SSANGYONG TIVOLI,M1,,1497,,146,,2600,1555,1555,Diesel,M,1597,,,,,,,,1
2005794,CY,,,SSANGYONG,SSANGYONG MOTOR COMPANY,SSANGYONG,e9*2007/46*6294*03,XK,AU2R,CUB41,SSANGYONG,SSANGYONG TIVOLI,M1,,1497,,146,,2600,1555,1555,Diesel,M,1597,,,,,,,,1
2005802,CY,,,SSANGYONG,SSANGYONG MOTOR COMPANY,SSANGYONG,e9*2007/46*6294*03,XK,AU2R,CUB41,SSANGYONG,SSANGYONG TIVOLI,M1,,1497,,146,,2600,1555,1555,Diesel,M,1597,,,,,,,,1
2005809,CY,,,SSANGYONG,SSANGYONG MOTOR COMPANY,SSANGYONG,e9*2007/46*6294*03,XK,AU2R,CUB41,SSANGYONG,SSANGYONG TIVOLI,M1,,1497,,146,,2600,1555,1555,Diesel,M,1597,,,,,,,,1
2005815,CY,,,SSANGYONG,SSANGYONG MOTOR COMPANY,SSANGYONG,e9*2007/46*6294*03,XK,AU2R,CUB41,SSANGYONG,SSANGYONG TIVOLI,M1,,1497,,146,,2600,1555,1555,Diesel,M,1597,,,,,,,,1
2005823,CY,,,SSANGYONG,SSANGYONG MOTOR COMPANY,SSANGYONG,e9*2007/46*6294*03,XK,AU2R,CUB41,SSANGYONG,SSANGYONG TIVOLI,M1,,1497,,146,,2600,1555,1555,Diesel,M,1597,,,,,,,,1
2005831,CY,,,SSANGYONG,SSANGYONG MOTOR COMPANY,SSANGYONG,e9*2007/46*6294*03,XK,AV2R,AVA12,SSANGYONG,SSANGYONG TIVOLI,M1,,1382,,149,,2600,1555,1555,Petrol,M,1597,,,,,,,,1
2005838,CY,,,SSANGYONG,SSANGYONG MOTOR COMPANY,SSANGYONG,e9*2007/46*6294*03,XK,AV2R,AVA12,SSANGYONG,SSANGYONG TIVOLI,M1,,1382,,149,,2600,1555,1555,Petrol,M,1597,,,,,,,,1
2005847,CY,,,SSANGYONG,SSANGYONG MOTOR COMPANY,SSANGYONG,e9*2007/46*0055*17,CK,AW2R,EWEB1,SSANGYONG,SSANGYONG KORANDO,M1,,1763,,169,,2650,1573,1558,Diesel,M,2157,,,,,,,,1
2006283,CY,BMW GROUP,,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW AG,e1*2007/46*0512*21,X3,XX12,6A250000,BMW,X4 XDRIVE20D,M1,,1825,,136,,2810,1616,1632,Diesel,M,1995,,,,,,,,1
2006289,CY,BMW GROUP,,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW AG,e1*2007/46*0512*19,X3,XX12,6A150000,BMW,X4 XDRIVE20D,M1,,1825,,129,,2810,1594,1610,Diesel,M,1995,,,,,,,,1
2006295,CY,BMW GROUP,,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW AG,e1*2007/46*0421*19,X5,KT42,6A150000,BMW,X5 SDRIVE25D,M1,,2070,,139,,2933,1644,1650,Diesel,M,1995,,,,,,,,1
2006325,CY,BMW GROUP,,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW AG,e1*2007/46*0421*19,X5,KT42,6A150000,BMW,X5 SDRIVE25D,M1,,2070,,139,,2933,1644,1650,Diesel,M,1995,,,,,,,,1
2006334,CY,BMW GROUP,,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW AG,e1*2007/46*0421*19,X5,KT42,6A150000,BMW,X5 SDRIVE25D,M1,,2070,,139,,2933,1644,1650,Diesel,M,1995,,,,,,,,1
2006341,CY,BMW GROUP,,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW AG,e1*2007/46*0421*19,X5,KT42,6A150000,BMW,X5 SDRIVE25D,M1,,2070,,139,,2933,1644,1650,Diesel,M,1995,,,,,,,,1
2006347,CY,BMW GROUP,,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW AG,e1*2007/46*0421*19,X5,KT42,6A270000,BMW,X5 SDRIVE25D,M1,,2070,,141,,2933,1644,1647,Diesel,M,1995,,,,,,,,1
2006352,CY,BMW GROUP,,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW AG,e1*2007/46*0421*19,X5,KT42,6A150000,BMW,X5 SDRIVE25D,M1,,2070,,139,,2933,1644,1650,Diesel,M,1995,,,,,,,,1
2006358,CY,BMW GROUP,,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW AG,e1*2007/46*0421*19,X5,KT42,6A150000,BMW,X5 SDRIVE25D,M1,,2070,,139,,2933,1644,1650,Diesel,M,1995,,,,,,,,1
