ID,MS,Mp,VFN,Mh,Man,MMS,TAN,T,Va,Ve,Mk,Cn,Ct,Cr,m (kg),Mt,Enedc (g/km),Ewltp (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW),z (Wh/km),It,Ernedc (g/km),Erwltp (g/km),De,Vf,r
1384251,DE,VW GROUP PC,,SEAT,SEAT SA,SEAT (E),E9*2001/116*0067*37,6J,SCCJZD,FM6NFM62U0097MM67,SEAT,IBIZA,M1,M1,1102,,119,,2469,1465,1457,PETROL,M,1197,81,,,,,,,39
1407134,DE,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN-VW,E1*2007/46*0623*20,AU,GAC4CXXBX0,FM5FM5A4051N7MMON1VL61VR2,VOLKSWAGEN,GOLF,M1,M1,1321,,99,,2620,1527,1496,DIESEL,M,1598,81,,,,,,,119
1373238,DE,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN-VW,E1*2007/46*0623*30,AU,GAC4CHZCX0,FD7FD7CW001N7MMON1VL63VR2N,VOLKSWAGEN,GOLF,M1,M1,1257,,109,,2620,1549,1521,PETROL,M,999,81,,,,,,,13
1392127,DE,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN-VW,E1*2007/46*0627*28,AUV,VACDDYAX0,FD7FD7CW002N7MMON1VL61VR2,VOLKSWAGEN,GOLF,M1,M1,1395,,103,,2620,1549,1520,DIESEL,M,1598,85,,,,,,,15
1364262,DE,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN-VW,E1*2007/46*0623*22,AU,GAC45CZEAX0,FM6FM62S022N7MMMN1ML62VR2,VOLKSWAGEN,GOLF,M1,M1,1280,,109,,2620,1527,1496,PETROL,M,1395,110,,,,,,,1
1404026,DE,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN-VW,E1*2007/46*0539*23,16,AACYVDX0,FM6FM6AJ015LLN617MMN1VR2,VOLKSWAGEN,JETTA,M1,M1,1325,,114,,2648,1541,1547,PETROL,M,1197,77,,,,,,,5
1351280,DE,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN-VW,E1*2001/116*0220*41,7HC,MCXGB300X0,NNFM52Z1116NVR27MMG02L63272,VOLKSWAGEN,MULTIVAN,M1,M1,1946,,155,,3000,1634,1639,DIESEL,M,1968,75,,,,,,,1
1361072,DE,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN-VW,E1*2001/116*0220*47,7HC,GCXEB300X1,NNAD7BT0117NVR27MMG02L64281,VOLKSWAGEN,KOMBI,M1,M1,2043,,171,,3000,1634,1640,DIESEL,M,1968,150,,,,,,,1
1387215,DE,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN-VW,E1*2001/116*0450*30,5N,ACCZDAX1,NAD6AD6D9017KN5TVR27MM61,VOLKSWAGEN,TIGUAN,M1,M1,1592,,163,,2677,1576,1566,PETROL,M,1395,110,,,,,,,6
1385428,DE,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN-VW,E1*2007/46*0627*24,AUV,VACCZDAX0,FM6FM62S022N7MMON1ML73VR2,VOLKSWAGEN,GOLF,M1,M1,1332,,124,,2620,1533,1504,PETROL,M,1395,110,,,,,,,195
1389948,DE,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN-VW,E1*2007/46*0627*27,AUV,VACCZCAX0,FM6FM6AJ015N7MMON1ML63VR2,VOLKSWAGEN,GOLF,M1,M1,1316,,125,,2620,1549,1520,PETROL,M,1395,92,,,,,,,13
1386062,DE,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN-VW,E1*2007/46*0627*25,AUV,SACCZCAX0,FD7FD7CW001N7MMMN1ML03VR2,VOLKSWAGEN,GOLF SPORTSVAN,M1,M1,1383,,120,,2670,1533,1504,PETROL,M,1395,92,,,,,,,1
1387812,DE,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN-VW,E1*2007/46*0627*26,AUV,SACCZCAX0,FM6FM6AJ015N7MMON1ML01VR2,VOLKSWAGEN,GOLF SPORTSVAN,M1,M1,1362,,127,,2670,1550,1526,PETROL,M,1395,92,,,,,,,72
1368057,DE,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN-VW,E1*2007/46*0623*27,AU,GAC4CZCAX0,FM6FM6AJ015N7MMON1ML65VR2,VOLKSWAGEN,GOLF,M1,M1,1268,,122,,2620,1549,1521,PETROL,M,1395,92,,,,,,,9
1380344,DE,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN-VW,E1*2007/46*0627*19,AUV,SACCRLBX0,FD6FD6D9002N7MMON1ML02VR2,VOLKSWAGEN,GOLF SPORTSVAN,M1,M1,1492,,122,,2670,1550,1526,DIESEL,M,1968,110,,,,,,,5
1379508,DE,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN-VW,E1*2007/46*0627*17,AUV,SACCZDAX0,FM6FM62S022N7MMON1ML07VR2,VOLKSWAGEN,GOLF SPORTSVAN,M1,M1,1391,,130,,2670,1533,1504,PETROL,M,1395,110,,,,,,,1
1346013,DE,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN-VW,E1*2001/116*0211*39,1T,CRKBAF,FM6FM62S0267MMS72VR261,VOLKSWAGEN,TOURAN,M1,M1,1583,,116,,2786,1569,1542,DIESEL,M,1598,81,,,,,,,22
1393635,DE,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN-VW,E1*2001/116*0450*32,5N,ACDFHAX1,AD7AD7DL003GN5G5NVR27MM61,VOLKSWAGEN,TIGUAN,M1G,M1G,1735,,149,,2677,1586,1576,DIESEL,M,1968,140,,,,,,,3
1386803,DE,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN-VW,E1*2001/116*0450*30,5N,ACCUAAX1,NAD7AD7DL007GG6NVR27MM61,VOLKSWAGEN,TIGUAN,M1G,M1G,1795,,167,,2677,1586,1576,DIESEL,M,1968,176,,,,,,,3
1361320,DE,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN-VW,E1*2001/116*0220*47,7HC,GCXEB320X0,LNFD7BT0117NVR27MMG02L66391,VOLKSWAGEN,KOMBI,M1,M1,2002,,172,,3400,1634,1640,DIESEL,M,1968,150,,,,,,,3
1391731,DE,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN-VW,E1*2001/116*0450*32,5N,ACCZDAX1,AD6AD6D9017KN5G4NVR27MM61,VOLKSWAGEN,TIGUAN,M1G,M1G,1592,,163,,2677,1576,1566,PETROL,M,1395,110,,,,,,,18
1370455,DE,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN-VW,E1*2001/116*0252*47,2K,ACDFSBX0,N0J2FD6FD62E031S1SBVR27MMLL272,VOLKSWAGEN,CADDY,M1,M1,1498,,132,,2682,1543,1534,DIESEL,M,1968,110,,,,,,,38
