ID,MS,Mp,VFN,Mh,Man,MMS,TAN,T,Va,Ve,Mk,Cn,Ct,Cr,m (kg),Mt,Enedc (g/km),Ewltp (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW),z (Wh/km),It,Ernedc (g/km),Erwltp (g/km),De,Vf,r
1857722,EE,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA MOTOR EUROPE NV/SA,E11*2001/116*0331*09,T27,ZRT271(W),ZRT271L-AWFEPW(3K),TOYOTA,AVENSIS,M1,,1470,,143,,2700,1550,1550,PETROL,M,1798,,,,,,,,1
1857732,EE,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA MOTOR EUROPE NV/SA,E11*2001/116*0331*09,T27,ZRT271(W),ZRT271L-AWXEPW(1K),TOYOTA,AVENSIS,M1,,1490,,139,,2700,1560,1560,PETROL,M,1798,,,,,,,,1
1857739,EE,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA MOTOR EUROPE NV/SA,E11*2001/116*0331*09,T27,ZRT271(W),ZRT271L-AWXEPW(1K),TOYOTA,AVENSIS,M1,,1490,,139,,2700,1560,1560,PETROL,M,1798,,,,,,,,1
1857745,EE,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA MOTOR EUROPE NV/SA,E11*2001/116*0331*09,T27,ZRT271(W),ZRT271L-AWXEPW(3K),TOYOTA,AVENSIS,M1,,1490,,142,,2700,1550,1550,PETROL,M,1798,,,,,,,,1
1857749,EE,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA MOTOR EUROPE NV/SA,E11*2001/116*0331*09,T27,ZRT271(W),ZRT271L-AWXEPW(3K),TOYOTA,AVENSIS,M1,,1490,,142,,2700,1550,1550,PETROL,M,1798,,,,,,,,1
1857754,EE,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA MOTOR EUROPE NV/SA,E11*2001/116*0331*09,T27,ZRT271(W),ZRT271L-AWXEPW(1K),TOYOTA,AVENSIS,M1,,1490,,139,,2700,1560,1560,PETROL,M,1798,,,,,,,,1
1857842,EE,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA MOTOR EUROPE NV/SA,E11*2001/116*0304*11,E15EJ(A),ZRE181(E),ZRE181L-DEXGPW(4M),TOYOTA,COROLLA,M1,,1280,,142,,2700,1515,1510,PETROL,M,1598,,,,,,,,1
1857850,EE,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA MOTOR EUROPE NV/SA,E11*2001/116*0304*11,E15EJ(A),ZRE181(E),ZRE181L-DEXNPW(4M),TOYOTA,COROLLA,M1,,1280,,129,,2700,1525,1520,PETROL,M,1598,,,,,,,,1
1857858,EE,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA MOTOR EUROPE NV/SA,E11*2001/116*0304*11,E15EJ(A),ZRE181(E),ZRE181L-DEFDPW(3M),TOYOTA,COROLLA,M1,,1270,,139,,2700,1535,1535,PETROL,M,1598,,,,,,,,1
1857866,EE,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA MOTOR EUROPE NV/SA,E11*2001/116*0304*11,E15EJ(A),ZRE181(E),ZRE181L-DEFNPW(3M),TOYOTA,COROLLA,M1,,1270,,139,,2700,1525,1520,PETROL,M,1598,,,,,,,,1
1857872,EE,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA MOTOR EUROPE NV/SA,E11*2001/116*0304*11,E15EJ(A),ZRE181(E),ZRE181L-DEXNPW(4M),TOYOTA,COROLLA,M1,,1280,,129,,2700,1525,1520,PETROL,M,1598,,,,,,,,1
1857875,EE,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA MOTOR EUROPE NV/SA,E11*2001/116*0304*11,E15EJ(A),ZRE181(E),ZRE181L-DEXNPW(4M),TOYOTA,COROLLA,M1,,1280,,129,,2700,1525,1520,PETROL,M,1598,,,,,,,,1
1857881,EE,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA MOTOR EUROPE NV/SA,E11*2001/116*0304*11,E15EJ(A),ZRE181(E),ZRE181L-DEXNPW(4M),TOYOTA,COROLLA,M1,,1280,,129,,2700,1525,1520,PETROL,M,1598,,,,,,,,1
1857890,EE,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA MOTOR EUROPE NV/SA,E11*2001/116*0304*11,E15EJ(A),ZRE181(E),ZRE181L-DEXNPW(4M),TOYOTA,COROLLA,M1,,1280,,129,,2700,1525,1520,PETROL,M,1598,,,,,,,,1
1857894,EE,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA MOTOR EUROPE NV/SA,E11*2001/116*0304*11,E15EJ(A),ZRE181(E),ZRE181L-DEXGPW(4M),TOYOTA,COROLLA,M1,,1280,,142,,2700,1515,1510,PETROL,M,1598,,,,,,,,1
1857937,EE,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA MOTOR EUROPE NV/SA,E11*2001/116*0304*11,E15EJ(A),ZRE181(E),ZRE181L-DEXNPW(4M),TOYOTA,COROLLA,M1,,1280,,129,,2700,1525,1520,PETROL,M,1598,,,,,,,,1
1857944,EE,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA MOTOR EUROPE NV/SA,E11*2001/116*0304*11,E15EJ(A),ZRE181(E),ZRE181L-DEXNPW(4M),TOYOTA,COROLLA,M1,,1280,,129,,2700,1525,1520,PETROL,M,1598,,,,,,,,1
1857951,EE,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA MOTOR EUROPE NV/SA,E11*2001/116*0304*11,E15EJ(A),ZRE181(E),ZRE181L-DEXNPW(4M),TOYOTA,COROLLA,M1,,1280,,129,,2700,1525,1520,PETROL,M,1598,,,,,,,,1
1857958,EE,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA MOTOR EUROPE NV/SA,E11*2001/116*0304*11,E15EJ(A),ZRE181(E),ZRE181L-DEXNPW(4M),TOYOTA,COROLLA,M1,,1280,,129,,2700,1525,1520,PETROL,M,1598,,,,,,,,1
1857966,EE,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA MOTOR EUROPE NV/SA,E11*2001/116*0304*11,E15EJ(A),ZRE181(E),ZRE181L-DEXNPW(4M),TOYOTA,COROLLA,M1,,1280,,129,,2700,1525,1520,PETROL,M,1598,,,,,,,,1
1858016,EE,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,N.V. TOYOTA MOTOR EUROPE,E11*2007/46*0152*08,XP13M(A),NSP13(MH),NSP130L-CHFNKW(1K),TOYOTA,YARIS,M1,,1115,,114,,2510,1485,1470,PETROL,M,1329,,,,,,,,1
1858027,EE,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,N.V. TOYOTA MOTOR EUROPE,E11*2007/46*0152*09,XP13M(A),NSP13(MH),NSP130L-CHFNKW(1K),TOYOTA,YARIS,M1,,1115,,114,,2510,1485,1470,PETROL,M,1329,,,,,,,,1
1858032,EE,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,N.V. TOYOTA MOTOR EUROPE,E11*2007/46*0152*09,XP13M(A),NSP13(MH),NSP130L-CHXNKW(1K),TOYOTA,YARIS,M1,,1125,,114,,2510,1485,1470,PETROL,M,1329,,,,,,,,1
1858038,EE,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,N.V. TOYOTA MOTOR EUROPE,E11*2007/46*0152*09,XP13M(A),NSP13(MH),NSP130L-CHXNKW(1K),TOYOTA,YARIS,M1,,1125,,114,,2510,1485,1470,PETROL,M,1329,,,,,,,,1
1858047,EE,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,N.V. TOYOTA MOTOR EUROPE,E11*2007/46*0152*09,XP13M(A),NSP13(MH),NSP130L-CHFNKW(1K),TOYOTA,YARIS,M1,,1115,,114,,2510,1485,1470,PETROL,M,1329,,,,,,,,1
1858055,EE,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,N.V. TOYOTA MOTOR EUROPE,E11*2007/46*0152*09,XP13M(A),NSP13(MH),NSP130L-CHXNKW(1K),TOYOTA,YARIS,M1,,1125,,114,,2510,1485,1470,PETROL,M,1329,,,,,,,,1
1858059,EE,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,N.V. TOYOTA MOTOR EUROPE,E11*2007/46*0152*09,XP13M(A),NSP13(MH),NSP130L-CHXNKW(1K),TOYOTA,YARIS,M1,,1125,,114,,2510,1485,1470,PETROL,M,1329,,,,,,,,1
1858069,EE,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,N.V. TOYOTA MOTOR EUROPE,E11*2007/46*0152*09,XP13M(A),NSP13(MH),NSP130L-CHXNKW(1K),TOYOTA,YARIS,M1,,1125,,114,,2510,1485,1470,PETROL,M,1329,,,,,,,,1
