ID,MS,Mp,VFN,Mh,Man,MMS,TAN,T,Va,Ve,Mk,Cn,Ct,Cr,m (kg),Mt,Enedc (g/km),Ewltp (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW),z (Wh/km),It,Ernedc (g/km),Erwltp (g/km),De,Vf,r
19860,ES,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2007/46*0623*22,AU,GAC45CZCAX0,FD7FD7CW001N7MMON1ML63VR2,VOLKSWAGEN,GOLF,M1,,1271,,118,,2620,1550,1522,PETROL,M,1395,,217,,,,,,4
120657,ES,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2001/116*0450*32,5N,ACDFHAX1,AD7AD7DL003GN5G5TVR27MM61,VOLKSWAGEN,TIGUAN,M1,,1735,,149,,2677,1586,1576,DIESEL,M,1968,,,,,,,,1
81520,ES,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2001/116*0450*30,5N,ACCZCAX0,NFM6FM62Q036KN1TVR27MM62,VOLKSWAGEN,TIGUAN,M1,,1490,,137,,2677,1589,1580,PETROL,M,1395,,,,,,,,804
81127,ES,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2001/116*0220*46,7HC,GCXHA308X0,NNFM6500816TVR27MMG02L63291,VOLKSWAGEN,KOMBI,M1,,1943,,161,,3000,1634,1640,DIESEL,M,1968,,,,,,,,3
20383,ES,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2001/116*0220*46,7HC,MCXGB300X0,NNFM52Z1116TVR27MMG02E73172,VOLKSWAGEN,MULTIVAN,M1,,1946,,154,,3000,1634,1639,DIESEL,M,1968,,,,,,,,1
116400,ES,GENERAL MOTORS,,OPEL,ADAM OPEL GMBH,ADAM OPEL AG,E1*2001/116*0379*39,SD,BAD2A12,BX2E6EHTJ5,OPEL,CORSA-E,m1, ,1199,,114,,2510,1472,1464,LPG,B,1398,,,,,,,,4
121273,ES,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2001/116*0211*45,1T,DGDAAF,FM6FM62S0267MVS72VR261,VOLKSWAGEN,TOURAN,M1,,1595,,119,,2786,1569,1542,DIESEL,M,1598,,,,,,,,7
106982,ES,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2007/46*0623*22,AU,GAC45CXXBX0,FM5FM5A4051N7MMON1VL63VR2,VOLKSWAGEN,GOLF,M1,,1321,,105,,2620,1550,1522,DIESEL,M,1598,,217,,,,,,170
19592,ES,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2001/116*0252*48,2K,ACDFSDX0,N0J2FM5FM5A4057N1SBVR27MMLL161,VOLKSWAGEN,CADDY,M1,,1457,,126,,2682,1543,1534,DIESEL,M,1968,,217,,,,,,55
66567,ES,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2001/116*0450*24,5N,ACDFGAX1,NAM6AM6BB003KN4NVR27MM61,VOLKSWAGEN,TIGUAN,M1,,1641,,141,,2677,1582,1572,DIESEL,M,1968,,,,,,,,1
