ID,MS,Mp,VFN,Mh,Man,MMS,TAN,T,Va,Ve,Mk,Cn,Ct,Cr,m (kg),Mt,Enedc (g/km),Ewltp (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW),z (Wh/km),It,Ernedc (g/km),Erwltp (g/km),De,Vf,r
499848,FI,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2001/116*0450*30,5N,ACCHHBX1,NAD7AD7DL004GN4NVR27MM61,VOLKSWAGEN,TIGUAN,M1,,1669,,180,,2677,1586,1576,PETROL,M,1984,162,,,,,,,2
497983,FI,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2001/116*0307*47,3C,AACJSAX0,FD7FD7CW005SH7MMVR262,VOLKSWAGEN,PASSAT,M1,,1480,,130,,2786,1586,1570,PETROL,M,1798,132,,,,,,,1
498101,FI,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2001/116*0307*45,3C,AACUKCX0,FD6FD6DD001PH7MMVR267,VOLKSWAGEN,PASSAT,M1,,1722,,37,,2786,1586,1570,PETROL/ELECTRIC,M,1395,115,122,,,,,,1
491519,FI,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2007/46*0627*28,AUV,VACDDYAX0,FM5FM5A4051N7MMON1VL61VR2,VOLKSWAGEN,GOLF,M1,,1376,,106,,2620,1549,1520,DIESEL,M,1598,85,,,,,,,17
500061,FI,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2001/116*0450*30,5N,ACCZDAX1,NAD6AD6D9017KN3NVR27MM62,VOLKSWAGEN,TIGUAN,M1,,1592,,161,,2677,1586,1576,PETROL,M,1395,110,,,,,,,5
488867,FI,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2007/46*0627*20,AUV,VACCYVBX0,FD7FD7CW001N7MMON1VL61VR2,VOLKSWAGEN,GOLF,M1,,1324,,115,,2620,1549,1520,PETROL,M,1197,81,,,,,,,6
498009,FI,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2001/116*0307*48,3C,AACJXAX1,AD6AD6D9016SH7MMVR265,VOLKSWAGEN,PASSAT,M1,,1615,,164,,2786,1586,1570,PETROL,M,1984,206,,,,,,,1
488592,FI,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2007/46*0627*28,AUV,VACCHZKX0,FM5FM5AH001N7MMON1VL61VR2,VOLKSWAGEN,GOLF,M1,,1280,,109,,2620,1549,1520,PETROL,M,999,63,,,,,,,30
500939,FI,VW GROUP PC,,SEAT,SEAT SA,"SEAT,S.A.",E9*2001/116*0067*37,6J,SCCJZC,FM5NFM52T1067MM66,SEAT,IBIZA,M1,,1089,,116,,2469,1465,1457,PETROL,M,1197,66,,,,,,,4
499723,FI,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2007/46*1725*02,3H,ABDFGAX0,FD7FD7GC004H7MVVR261,VOLKSWAGEN,ARTEON,M1,,1643,,114,,2837,1591,1581,DIESEL,M,1968,110,,,,,,,1
502478,FI,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2007/46*0623*30,AU,GAC4CHHAX0,FD6FD6D9011S7MMON1ML72VR2N,VOLKSWAGEN,GOLF,M1,,1408,,148,,2626,1549,1521,PETROL,M,1984,169,,,,,,,3
500904,FI,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2001/116*0450*29,5N,ACDFGAX1,NAM6AM6BB003KN5NVR27MM62,VOLKSWAGEN,TIGUAN,M1,,1641,,139,,2677,1586,1576,DIESEL,M,1968,110,,,,,,,3
498233,FI,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2001/116*0307*47,3C,AACZEAX0,FD7FD7CW002SV7MMVR261,VOLKSWAGEN,PASSAT,M1,,1413,,117,,2786,1586,1570,PETROL,M,1395,110,,,,,,,27
500916,FI,VW GROUP PC,,SEAT,SEAT SA,"SEAT, S.A.",E9*2001/116*0067*38,6J,SCCHYB,FM5SFM5CF0087MM61,SEAT,IBIZA,M1,,1049,,108,,2469,1465,1457,PETROL,M,999,55,,,,,,,2
499957,FI,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2001/116*0450*29,5N,ACCZCAX0,NFM6FM62Q036KN2TVR27MM61,VOLKSWAGEN,TIGUAN,M1,,1490,,139,,2677,1589,1580,PETROL,M,1395,92,,,,,,,1
