ID,MS,Mp,VFN,Mh,Man,MMS,TAN,T,Va,Ve,Mk,Cn,Ct,Cr,m (kg),Mt,Enedc (g/km),Ewltp (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW),z (Wh/km),It,Ernedc (g/km),Erwltp (g/km),De,Vf,r
431815,GB,VW GROUP PC,,SEAT,SEAT SA,SEAT,E9*2001/116*0067*37,6J,SCCJZC,FM5NFM52T1067MM66,SEAT,IBIZA FR TSI,M1,,1089,,116,,2469,1465,1457,PETROL,M,1197,66,,,,,,,6
439065,GB,VW GROUP PC,,SEAT,SEAT SA,SEAT,E9*2001/116*0067*37,6J,SCCJZC,FM5NFM52T1067MM66,SEAT,IBIZA SE TECHNOLOGY TSI,M1,,1089,,116,,2469,1465,1457,PETROL,M,1197,66,,,,,,,40
450491,GB,VW GROUP PC,,SEAT,SEAT SA,SEAT,E9*2001/116*0067*37,6J,SCCJZD,FM6NFM62U0097MM67,SEAT,IBIZA FR TECHNOLOGY TSI,M1,,1102,,119,,2469,1465,1457,PETROL,M,1197,81,,,,,,,108
444943,GB,VW GROUP PC,,SEAT,SEAT SA,SEAT,E9*2001/116*0067*37,6J,SCCJZD,FM6NFM62U0097MM67,SEAT,IBIZA FR RED EDITION TECH TSI,M1,,1102,,119,,2469,1465,1457,PETROL,M,1197,81,,,,,,,8
451608,GB,VW GROUP PC,,SEAT,SEAT SA,SEAT,E9*2001/116*0067*37,6J,SCCJZD,FM6NFM62U0097MM67,SEAT,IBIZA FR TSI,M1,,1102,,119,,2469,1465,1457,PETROL,M,1197,81,,,,,,,25
420077,GB,VW GROUP PC,,AUDI AG,AUDI AG,AUDI,e1*2001/116*0430*53,B8,L2DEMAF1,FD7FD7CK003P8W08S57MVEM1,AUDI,A4 S LINE TFSI S-A,M1,,1505,,126,,2828,1561,1554,petrol,M,1984,,,,,,,,4
420080,GB,VW GROUP PC,,AUDI AG,AUDI AG,AUDI,e1*2001/116*0430*46,B8,L2CVNAF1,FM6FM6DJ007P8W07S57MMEM1K1,AUDI,A4 SPORT TFSI,M1,,1395,,128,,2828,1561,1554,petrol,M,1395,,,,,,,,1
420085,GB,VW GROUP PC,,AUDI AG,AUDI AG,AUDI,e1*2001/116*0430*53,B8,S2DEUAF1,FD7FD7CK006P8W33S57MMEM1,AUDI,A5 SE TDI S-A,M1,,1590,,110,,2831,1577,1558,diesel,M,1968,,,,,,,,19
420086,GB,VW GROUP PC,,AUDI AG,AUDI AG,AUDI,e1*2001/116*0430*46,B8,L2CYRBQ1,QD7QD7CL001P8W10S57MMEM1K1,AUDI,A4 SPORT TFSI QUATTRO S-A,M1,,1585,,136,,2828,1561,1554,petrol,M,1984,,,,,,,,2
420090,GB,VW GROUP PC,,AUDI AG,AUDI AG,AUDI,e1*2007/46*0414*18,8X,ACXMAF1,FM52R029P8X07RLS47MMEM2,AUDI,A1 S LINE BLACK EDITION TDI,M1,,1225,,102,,2457,1456,1450,diesel,M,1598,,,,,,,,2
420094,GB,VW GROUP PC,,AUDI AG,AUDI AG,AUDI,e1*2001/116*0430*47,B8,C2CVKBF1,FD7FD7CK003P8W34S47MMEM1K1,AUDI,A5 S LINE TFSI S-A,M1,,1495,,120,,2770,1577,1558,petrol,M,1984,,,,,,,,2
420099,GB,VW GROUP PC,,AUDI AG,AUDI AG,AUDI,e1*2007/46*0414*19,8X,ACZCAF1,FD7FD7AM014P8X04RLS47MMEM2K1,AUDI,A1 S LINE TFSI S-A,M1,,1190,,113,,2457,1456,1450,petrol,M,1395,,,,,,,,1
420103,GB,VW GROUP PC,,AUDI AG,AUDI AG,AUDI,e1*2001/116*0430*47,B8,L2DEUAF1,FM6FM6DJ009P8W04S57MMEM2K1,AUDI,A4 SE ULTRA TDI,M1,,1505,,99,,2828,1561,1554,diesel,M,1968,,,,,,,,34
420108,GB,VW GROUP PC,,AUDI AG,AUDI AG,AUDI,e1*2007/46*0414*20,8X,SCHZBF1,FD7FD7AM006P8X04RLS57MMEM2K1,AUDI,A1 SPORT TFSI S-A,M1,,1165,,103,,2457,1456,1450,petrol,M,999,,,,,,,,2
420111,GB,VW GROUP PC,,AUDI AG,AUDI AG,AUDI,e1*2001/116*0430*48,B8,H2DETAQ1,QD7QD7CL002P8W40S57MMEM1,AUDI,A4 ALLROAD TDI QUATTRO S-A,M1,,1715,,132,,2828,1572,1560,diesel,M,1968,,,,,,,,4
420117,GB,VW GROUP PC,,AUDI AG,AUDI AG,AUDI,e1*2007/46*0414*21,8X,ACXMAF1,FD7FD7AM007P8X07RLS47MMEM2K1,AUDI,A1 S LINE BLACK EDITION TDI SA,M1,,1250,,106,,2457,1456,1450,diesel,M,1598,,,,,,,,15
420118,GB,VW GROUP PC,,AUDI AG,AUDI AG,AUDI,e1*2001/116*0430*48,B8,L2CVNAF1,FM6FM6DJ007P8W05S57MMEM1,AUDI,A4 SPORT TFSI,M1,,1395,,126,,2828,1561,1554,petrol,M,1395,,,,,,,,447
420125,GB,VW GROUP PC,,AUDI AG,AUDI AG,AUDI,e1*2007/46*0414*21,8X,SCHZBF1,FM5FM5DF002P8X02RLS57MMEMM2K1,AUDI,A1 SPORT TFSI,M1,,1135,,97,,2457,1456,1450,petrol,M,999,,,,,,,,1
420127,GB,VW GROUP PC,,AUDI AG,AUDI AG,AUDI,e1*2001/116*0430*48,B8,L2DETAF1,FM6FM6CS005P8W09S57MMEM2,AUDI,A4 SPORT ULTRA TDI,M1,,1505,,102,,2828,1561,1554,diesel,M,1968,,,,,,,,43
420133,GB,VW GROUP PC,,AUDI AG,AUDI AG,AUDI,e1*2007/46*0414*21,8X,SCZCAF1,FM6FM62U013P8X02RLS57MMEM2K1,AUDI,A1 SPORT TFSI,M1,,1180,,118,,2457,1456,1450,petrol,M,1395,,,,,,,,2399
420136,GB,VW GROUP PC,,AUDI AG,AUDI AG,AUDI,e1*2001/116*0430*48,B8,L2DETAF1,FM6FM6CS005P8W38S57MMEM2,AUDI,A4 SPORT ULTRA TDI,M1,,1505,,107,,2828,1561,1554,diesel,M,1968,,,,,,,,1
420141,GB,VW GROUP PC,,AUDI AG,AUDI AG,AUDI,e1*2007/46*0414*21,8X,SCZEAF1,FD7FD7AM014P8X07RLS57MMEM2K1,AUDI,A1 S LINE TFSI S-A,M1,,1230,,116,,2457,1456,1450,petrol,M,1395,,,,,,,,3
420146,GB,VW GROUP PC,,AUDI AG,AUDI AG,AUDI,e1*2001/116*0430*49,B8,A2CSWBQ1,QD7QD7CL002P8W15S57MMEM1,AUDI,A4 S LINE TDI QUATTRO S-A,M1,,1735,,129,,2828,1561,1554,diesel,M,2967,,,,,,,,4
420147,GB,VW GROUP PC,,AUDI AG,AUDI AG,AUDI,e1*2007/46*0414*22,8X,ACXMAF1,FM5FM52R029P8X04RLS47MMEM2,AUDI,A1 SPORT TDI,M1,,1225,,100,,2457,1456,1450,diesel,M,1598,,,,,,,,3
