ID,MS,Mp,VFN,Mh,Man,MMS,TAN,T,Va,Ve,Mk,Cn,Ct,Cr,m (kg),Mt,Enedc (g/km),Ewltp (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW),z (Wh/km),It,Ernedc (g/km),Erwltp (g/km),De,Vf,r
340771,GR,BMW GROUP,,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW AG,e1*2007/46*1679*00,FMCA,WG31,6A1400C0,MINI,COOPER,M1,,1305,,119,,2495,1501,1501,Petrol,M,1499,100,,,,,,,1
340778,GR,BMW GROUP,,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW AG,e1*2007/46*1679*00,FMCA,WG31,6A1400C0,MINI,COOPER,M1,,1305,,119,,2495,1501,1501,Petrol,M,1499,100,,,,,,,1
340787,GR,BMW GROUP,,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW AG,e1*2007/46*1679*00,FMCA,WG31,6A1400C0,MINI,COOPER,M1,,1305,,119,,2495,1501,1501,Petrol,M,1499,100,,,,,,,1
340794,GR,BMW GROUP,,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW AG,e1*2007/46*1679*00,FMCA,WG31,6A1400C0,MINI,COOPER,M1,,1305,,119,,2495,1501,1501,Petrol,M,1499,100,,,,,,,1
340803,GR,BMW GROUP,,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW AG,e1*2007/46*1679*00,FMCA,WG31,6A1400C0,MINI,COOPER,M1,,1305,,119,,2495,1501,1501,Petrol,M,1499,100,,,,,,,1
340806,GR,BMW GROUP,,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW AG,e1*2007/46*1679*01,FMCA,WG31,6A1400C0,MINI,COOPER,M1,,1305,,119,,2495,1501,1501,Petrol,M,1499,100,,,,,,,1
340814,GR,BMW GROUP,,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW AG,e1*2007/46*1679*01,FMCA,WG31,6A1400C0,MINI,COOPER,M1,,1305,,119,,2495,1501,1501,Petrol,M,1499,100,,,,,,,1
340821,GR,BMW GROUP,,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW AG,e1*2007/46*1679*01,FMCA,WG31,6A1400C0,MINI,COOPER,M1,,1305,,119,,2495,1501,1501,Petrol,M,1499,100,,,,,,,1
340828,GR,BMW GROUP,,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW AG,e1*2007/46*1679*01,FMCA,WG31,6A1400C0,_INI,COOPER,M1,,1305,,119,,2495,1501,1501,Petrol,M,1499,100,,,,,,,1
340834,GR,BMW GROUP,,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW AG,e1*2007/46*1679*01,FMCA,WG31,6A1400C0,MINI,COOPER,M1,,1305,,119,,2495,1501,1501,Petrol,M,1499,100,,,,,,,1
340839,GR,BMW GROUP,,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW AG,e1*2007/46*1679*01,FMCA,WG31,6A1400C0,MINI,COOPER,M1,,1305,,119,,2495,1501,1501,Petrol,M,1499,100,,,,,,,1
340849,GR,BMW GROUP,,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW AG,e1*2007/46*1679*01,FMCA,WG31,6A1400C0,MINI,COOPER,M1,,1305,,119,,2495,1501,1501,Petrol,M,1499,100,,,,,,,1
340857,GR,BMW GROUP,,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW AG,e1*2007/46*1679*01,FMCA,WG31,6A1400C0,MINI,COOPER,M1,,1305,,119,,2495,1501,1501,Petrol,M,1499,100,,,,,,,1
340865,GR,BMW GROUP,,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW AG,e1*2007/46*1679*01,FMCA,WG31,6A1400C0,MINI,COOPER,M1,,1305,,119,,2495,1501,1501,Petrol,M,1499,100,,,,,,,1
340873,GR,BMW GROUP,,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW AG,e1*2007/46*1679*00,FMCA,WG31,6A1400C0,MINI,COOPER,M1,,1305,,119,,2495,1501,1501,Petrol,M,1499,100,,,,,,,1
340882,GR,BMW GROUP,,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW AG,e1*2007/46*1679*00,FMCA,WG31,6A1400C0,MINI,COOPER,M1,,1305,,119,,2495,1501,1501,Petrol,M,1499,100,,,,,,,1
340891,GR,BMW GROUP,,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW AG,e1*2007/46*1679*00,FMCA,WG31,6A1400C0,MINI,COOPER,M1,,1305,,119,,2495,1501,1501,Petrol,M,1499,100,,,,,,,1
340902,GR,BMW GROUP,,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW AG,e1*2007/46*1679*00,FMCA,WG31,6A1400C0,MINI,COOPER,M1,,1305,,119,,2495,1501,1501,Petrol,M,1499,100,,,,,,,1
340909,GR,BMW GROUP,,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW AG,e1*2007/46*1679*00,FMCA,WG31,6A1400C0,MINI,COOPER,M1,,1305,,119,,2495,1501,1501,Petrol,M,1499,100,,,,,,,1
340919,GR,BMW GROUP,,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW AG,e1*2007/46*1679*01,FMCA,WG31,6A1400C0,MINI,COOPER,M1,,1305,,119,,2495,1501,1501,Petrol,M,1499,100,,,,,,,1
340927,GR,BMW GROUP,,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW AG,e1*2007/46*1679*01,FMCA,WG31,6A1400C0,MINI,COOPER,M1,,1305,,119,,2495,1501,1501,Petrol,M,1499,100,,,,,,,1
340933,GR,BMW GROUP,,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW AG,e1*2007/46*1679*01,FMCA,WG31,6A1400C0,MINI,COOPER,M1,,1305,,119,,2495,1501,1501,Petrol,M,1499,100,,,,,,,1
340939,GR,BMW GROUP,,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW AG,e1*2007/46*1679*01,FMCA,WG31,6A1400C0,MINI,COOPER,M1,,1305,,119,,2495,1501,1501,Petrol,M,1499,100,,,,,,,1
340948,GR,BMW GROUP,,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW AG,e1*2007/46*1679*01,FMCA,WG31,6A1400C0,MINI,COOPER,M1,,1305,,119,,2495,1501,1501,Petrol,M,1499,100,,,,,,,1
340957,GR,BMW GROUP,,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW AG,e1*2007/46*1679*01,FMCA,WG31,6A1400C0,MINI,COOPER,M1,,1305,,119,,2495,1501,1501,Petrol,M,1499,100,,,,,,,1
340965,GR,BMW GROUP,,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW AG,e1*2007/46*1679*00,FMCA,WG71,6A2400C0,MINI,COOPER S,M1,,1370,,134,,2495,1485,1485,Petrol,M,1998,141,,,,,,,1
340974,GR,BMW GROUP,,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW AG,e1*2007/46*1679*00,FMCA,WG71,6H1400C0,MINI,COOPER S,M1,,1350,,139,,2495,1485,1485,Petrol,M,1998,141,,,,,,,1
340980,GR,BMW GROUP,,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW AG,e1*2007/46*1679*01,FMCA,WG71,6A2400C0,MINI,COOPER S,M1,,1370,,134,,2495,1485,1485,Petrol,M,1998,141,,,,,,,1
340989,GR,BMW GROUP,,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW AG,e1*2007/46*1679*00,FMCA,WG71,6A2400C0,MINI,COOPER S,M1,,1370,,134,,2495,1485,1485,Petrol,M,1998,141,,,,,,,1
