ID,MS,Mp,VFN,Mh,Man,MMS,TAN,T,Va,Ve,Mk,Cn,Ct,Cr,m (kg),Mt,Enedc (g/km),Ewltp (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW),z (Wh/km),It,Ernedc (g/km),Erwltp (g/km),De,Vf,r
367023,HR,,,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,"Automobiles Citroen,6, rue Fructidor 75017 Paris (France)",e2*2007/46*0225*08,D,DHMZ,DDHMZ6,CITROEN,C-ELYSEE,M1 ,M1 ,1109,,114,,2652,1501,1501,Petrol,M,1199,60,,N/A,,,,,1
367030,HR,,,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,"Automobiles Citroen,6, rue Fructidor 75017 Paris (France)",e2*2007/46*0225*08,D,DHMZ,DDHMZ6,CITROEN,C-ELYSEE,M1 ,M1 ,1109,,114,,2652,1501,1501,Petrol,M,1199,60,,N/A,,,,,1
367039,HR,,,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,"Automobiles Citroen,6, rue Fructidor 75017 Paris (France)",e2*2007/46*0225*08,D,DHMZ,DDHMZ6,CITROEN,C-ELYSEE,M1 ,M1 ,1109,,114,,2652,1501,1501,Petrol,M,1199,60,,N/A,,,,,1
367048,HR,,,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,"Automobiles Citroen,6, rue Fructidor 75017 Paris (France)",e2*2007/46*0225*08,D,DHMZ,DDHMZ6,CITROEN,C-ELYSEE,M1 ,M1 ,1109,,114,,2652,1501,1501,Petrol,M,1199,60,,N/A,,,,,1
367089,HR,,,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,"Automobiles Citroen,6, rue Fructidor 75017 Paris (France)",e2*2007/46*0225*08,D,DHMZ,DDHMZ6,CITROEN,C-ELYSEE,M1 ,M1 ,1109,,114,,2652,1501,1501,Petrol,M,1199,60,,N/A,,,,,1
367098,HR,,,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,"Automobiles Citroen,6, rue Fructidor 75017 Paris (France)",e2*2007/46*0225*08,D,DHMZ,DDHMZ6,CITROEN,C-ELYSEE,M1 ,M1 ,1109,,114,,2652,1501,1501,Petrol,M,1199,60,,N/A,,,,,1
367104,HR,,,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,"Automobiles Citroen,6, rue Fructidor 75017 Paris (France)",e2*2007/46*0225*08,D,DHMZ,DDHMZ6,CITROEN,C-ELYSEE,M1 ,M1 ,1109,,114,,2652,1501,1501,Petrol,M,1199,60,,N/A,,,,,1
367112,HR,,,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,"Automobiles Citroen,6, rue Fructidor 75017 Paris (France)",e2*2007/46*0225*08,D,DHMZ,DDHMZ6,CITROEN,C-ELYSEE,M1 ,M1 ,1109,,114,,2652,1501,1501,Petrol,M,1199,60,,N/A,,,,,1
367121,HR,,,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,"Automobiles Citroen,6, rue Fructidor 75017 Paris (France)",e2*2007/46*0225*08,D,DHMZ,DDHMZ6,CITROEN,C-ELYSEE,M1 ,M1 ,1109,,114,,2652,1501,1501,Petrol,M,1199,60,,N/A,,,,,1
367127,HR,,,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,"Automobiles Citroen,6, rue Fructidor 75017 Paris (France)",e2*2007/46*0225*08,D,DHMZ,DDHMZ6,CITROEN,C-ELYSEE,M1 ,M1 ,1109,,114,,2652,1501,1501,Petrol,M,1199,60,,N/A,,,,,1
367133,HR,,,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,"Automobiles Citroen,6, rue Fructidor 75017 Paris (France)",e2*2007/46*0225*08,D,DHMZ,DDHMZ6,CITROEN,C-ELYSEE,M1 ,M1 ,1109,,114,,2652,1501,1501,Petrol,M,1199,60,,N/A,,,,,1
367141,HR,,,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,"Automobiles Citroen,6, rue Fructidor 75017 Paris (France)",e2*2007/46*0225*08,D,DHMZ,DDHMZ6,CITROEN,C-ELYSEE,M1 ,M1 ,1109,,114,,2652,1501,1501,Petrol,M,1199,60,,N/A,,,,,1
367147,HR,,,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,"Automobiles Citroen,6, rue Fructidor 75017 Paris (France)",e2*2007/46*0225*08,D,DHMZ,DDHMZ6,CITROEN,C-ELYSEE,M1 ,M1 ,1109,,114,,2652,1501,1501,Petrol,M,1199,60,,N/A,,,,,1
