ID,MS,Mp,VFN,Mh,Man,MMS,TAN,T,Va,Ve,Mk,Cn,Ct,Cr,m (kg),Mt,Enedc (g/km),Ewltp (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW),z (Wh/km),It,Ernedc (g/km),Erwltp (g/km),De,Vf,r
464663,HU,KIA,,KIA,KIA MOTORS CORPORATION,Kia,e4*2007/46*0633*08,RP,C7D31,D71AZ1,Kia,Carens,M1,M1,1600,,135,,2750,1573,1586,Diesel,M,1685,104,,,,,,,4
464672,HU,KIA,,KIA,KIA MOTORS CORPORATION,Kia,e4*2007/46*0633*08,RP,C7D31,M66AZ1,Kia,Carens,M1,M1,1591,,126,,2750,1573,1586,Diesel,M,1685,104,,,,,,,6
464677,HU,KIA,,KIA,KIA MOTORS CORPORATION,Kia,e4*2007/46*0633*08,RP,C7P11,M61AZ1,Kia,Carens,M1,M1,1483,,150,,2750,1573,1586,Petrol,M,1591,99,,,,,,,37
464684,HU,KIA,,KIA,KIA MOTORS CORPORATION,Kia,e4*2007/46*0633*08,RP,C7P31,A61AZ1,Kia,Carens,M1,M1,1544,,182,,2750,1573,1586,Petrol,M,1999,121,,,,,,,4
464691,HU,KIA,,KIA,KIA MOTORS CORPORATION,Kia,e4*2007/46*0633*08,RP,C7P31,M63AZ1,Kia,Carens,M1,M1,1519,,165,,2750,1573,1586,Petrol,M,1999,121,,,,,,,5
464698,HU,KIA,,KIA,KIA MOTORS CORPORATION,Kia,e4*2007/46*0825*02,PS,B5P51,M61FZ1,Kia,SOUL,M1,M1,1275,,153,,2570,1576,1588,Petrol,M,1591,97,,,,,,,1
464703,HU,KIA,,KIA,KIA MOTORS CORPORATION,Kia,e4*2007/46*0825*03,PS,B5D31,M64HZ1,Kia,Soul,M1,M1,1390,,127,,2570,1576,1588,Diesel,M,1582,100,,,,,,,4
464710,HU,KIA,,KIA,KIA MOTORS CORPORATION,Kia,e4*2007/46*0825*03,PS,B5P51,A61HZ1,Kia,Soul,M1,M1,1320,,159,,2570,1576,1588,Petrol,M,1591,97,,,,,,,16
464717,HU,KIA,,KIA,KIA MOTORS CORPORATION,Kia,e4*2007/46*0825*03,PS,B5P51,M61FZ1,Kia,Soul,M1,M1,1275,,152,,2570,1576,1588,Petrol,M,1591,97,,,,,,,55
464725,HU,KIA,,KIA,KIA MOTORS CORPORATION,Kia,e4*2007/46*0825*03,PS,B5P61,M61EZ1,Kia,Soul,M1,M1,1275,,148,,2570,1576,1588,Petrol,M,1591,97,,,,,,,1
464732,HU,KIA,,KIA,KIA MOTORS CORPORATION,Kia,e4*2007/46*0894*05,UM,C5D24,A63BZ1,Kia,Sorento,M1,M1,1917,,174,,2780,1633,1644,Diesel,M,2199,147,,,,,,,8
464741,HU,KIA,,KIA,KIA MOTORS CORPORATION,Kia,e4*2007/46*0894*05,UM,C7D24,A63BZ1,Kia,Sorento,M1,M1,1953,,174,,2780,1633,1644,Diesel,M,2199,147,,,,,,,7
464749,HU,KIA,,KIA,KIA MOTORS CORPORATION,Kia,e4*2007/46*0894*06,UM,C5D21,A63AZ1,Kia,Sorento,M1,M1,1866,,172,,2780,1633,1644,Diesel,M,2199,147,,,,,,,1
464758,HU,KIA,,KIA,KIA MOTORS CORPORATION,Kia,e4*2007/46*0894*06,UM,C5D24,A63AZ1,Kia,Sorento,M1,M1,1917,,174,,2780,1633,1644,Diesel,M,2199,147,,,,,,,6
464766,HU,KIA,,KIA,KIA MOTORS CORPORATION,Kia,e4*2007/46*0894*06,UM,C5D24,A63BZ1,Kia,Sorento,M1,M1,1917,,174,,2780,1633,1644,Diesel,M,2199,147,,,,,,,57
464779,HU,KIA,,KIA,KIA MOTORS CORPORATION,Kia,e4*2007/46*0894*06,UM,C7D21,A63AZ1,Kia,Sorento,M1,M1,1901,,172,,2780,1633,1644,Diesel,M,2199,147,,,,,,,1
464787,HU,KIA,,KIA,KIA MOTORS CORPORATION,Kia,e4*2007/46*0894*06,UM,C7D21,M62AZ1,Kia,Sorento,M1,M1,1874,,149,,2780,1633,1644,Diesel,M,2199,147,,,,,,,1
464795,HU,KIA,,KIA,KIA MOTORS CORPORATION,Kia,e4*2007/46*0894*06,UM,C7D24,A63AZ1,Kia,Sorento,M1,M1,1953,,174,,2780,1633,1644,Diesel,M,2199,147,,,,,,,2
464801,HU,KIA,,KIA,KIA MOTORS CORPORATION,Kia,e4*2007/46*0894*06,UM,C7D24,A63BZ1,Kia,Sorento,M1,M1,1953,,174,,2780,1633,1644,Diesel,M,2199,147,,,,,,,51
464811,HU,KIA,,KIA,KIA MOTORS CORPORATION,Kia,e4*2007/46*0894*06,UM,C7D24,M62AZ1,Kia,Sorento,M1,M1,1932,,149,,2780,1633,1644,Diesel,M,2199,147,,,,,,,1
464820,HU,KIA,,KIA,KIA MOTORS CORPORATION,Kia,e4*2007/46*0894*07,UM,C7D24,A64BZ1,Kia,Sorento,M1,M1,1953,,170,,2780,1633,1644,Diesel,M,2199,147,,,,,,,1
464828,HU,KIA,,KIA,KIA MOTORS CORPORATION,Kia,e4*2007/46*1018*03,JF,F5P11,M61AZ1,Kia,Optima,M1,M1,1550,,174,,2805,1614,1621,Petrol,M,1999,120,,,,,,,2
464834,HU,KIA,,KIA,KIA MOTORS CORPORATION,Kia,e4*2007/46*1018*04,JF,A5D11,M62CZ1,Kia,Optima,M1,M1,1590,,121,,2805,1614,1607,Diesel,M,1685,104,,,,,,,5
464840,HU,KIA,,KIA,KIA MOTORS CORPORATION,Kia,e4*2007/46*1018*04,JF,A5D21,D71CZ1,Kia,Optima,M1,M1,1605,,116,,2805,1614,1607,Diesel,M,1685,104,,,,,,,8
464848,HU,KIA,,KIA,KIA MOTORS CORPORATION,Kia,e4*2007/46*1018*04,JF,A5D21,M63CZ1,Kia,Optima,M1,M1,1590,,110,,2805,1614,1607,Diesel,M,1685,104,,,,,,,3
464858,HU,KIA,,KIA,KIA MOTORS CORPORATION,Kia,e4*2007/46*1018*04,JF,A5P11,A61AZ1,Kia,Optima,M1,M1,1545,,173,,2805,1614,1607,Petrol,M,1999,120,,,,,,,7
464867,HU,KIA,,KIA,KIA MOTORS CORPORATION,Kia,e4*2007/46*1018*04,JF,A5P11,M61AZ1,Kia,Optima,M1,M1,1530,,173,,2805,1614,1607,Petrol,M,1999,120,,,,,,,2
464872,HU,KIA,,KIA,KIA MOTORS CORPORATION,Kia,e4*2007/46*1018*04,JF,F5D11,M62CZ1,Kia,Optima,M1,M1,1620,,125,,2805,1614,1621,Diesel,M,1685,104,,,,,,,11
464880,HU,KIA,,KIA,KIA MOTORS CORPORATION,Kia,e4*2007/46*1018*04,JF,F5D21,D72CZ1,Kia,Optima,M1,M1,1635,,120,,2805,1614,1621,Diesel,M,1685,104,,,,,,,32
464889,HU,KIA,,KIA,KIA MOTORS CORPORATION,Kia,e4*2007/46*1018*04,JF,F5D21,M63CZ1,Kia,Optima,M1,M1,1620,,113,,2805,1614,1621,Diesel,M,1685,104,,,,,,,1
464897,HU,KIA,,KIA,KIA MOTORS CORPORATION,Kia,e4*2007/46*1018*04,JF,F5P11,A61AZ1,Kia,Optima,M1,M1,1570,,173,,2805,1614,1621,Petrol,M,1999,120,,,,,,,1
464906,HU,KIA,,KIA,KIA MOTORS CORPORATION,Kia,e4*2007/46*1018*04,JF,F5P11,M61AZ1,Kia,Optima,M1,M1,1550,,174,,2805,1614,1621,Petrol,M,1999,120,,,,,,,5
464915,HU,KIA,,KIA,KIA MOTORS CORPORATION,Kia,e4*2007/46*1018*05,JF,A5D21,D71CZ1,Kia,Optima,M1,M1,1605,,116,,2805,1614,1607,Diesel,M,1685,104,,,,,,,8
464923,HU,KIA,,KIA,KIA MOTORS CORPORATION,Kia,e4*2007/46*1018*05,JF,A5P11,A61AZ1,Kia,Optima,M1,M1,1545,,173,,2805,1614,1607,Petrol,M,1999,120,,,,,,,6
