ID,MS,Mp,VFN,Mh,Man,MMS,TAN,T,Va,Ve,Mk,Cn,Ct,Cr,m (kg),Mt,Enedc (g/km),Ewltp (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW),z (Wh/km),It,Ernedc (g/km),Erwltp (g/km),De,Vf,r
460842,IE,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,N/A,E1*2007/46*0623*26,AU,GAC4DDYAX0,FD7FD7CW002N7MMON1VL63VR2,"VOLKSWAGEN, VW",GOLF,M1,,1343,,105,,2620,1533,1503,DIESEL,M,1598,85,,,,,,,28
462785,IE,VW GROUP PC,,SEAT,SEAT SA,N/A,E9*2001/116*0067*37,6J,SCCJZC,FM5NFM52T1067MM66,SEAT,IBIZA,M1,,1089,,116,,2469,1465,1457,PETROL,M,1197,66,,,,,,,177
450684,IE,VW GROUP PC,,AUDI AG,AUDI AG,N/A,e1*2001/116*0399*17,42,CCSPAQ1,QD7QD7BZ005P42017MMK1,Audi,R8 Coupe,M1,,1655,,287,,2650,1647,1591,Petrol,M,5204,449,,,,,,,1
450755,IE,VW GROUP PC,,AUDI AG,AUDI AG,N/A,e1*2001/116*0430*35,B8,SCSUAF1,FM6B1002PB822S57MMEM1,Audi,A5 Sportback,M1,,1655,,127,,2817,1581,1570,Diesel,M,1968,110,,,,,,,3
450757,IE,VW GROUP PC,,AUDI AG,AUDI AG,N/A,e1*2001/116*0430*35,B8,SCSUAF1,FM6B1002PB812S57MMEM1,Audi,A5 Sportback,M1,,1655,,123,,2817,1581,1570,Diesel,M,1968,110,,,,,,,3
450767,IE,VW GROUP PC,,AUDI AG,AUDI AG,N/A,e1*2001/116*0430*35,B8,CCNHAF1,FAV8W001PB822S47MMEM1,Audi,A5 Coupe,M1,,1635,,131,,2758,1581,1569,Diesel,M,1968,140,,,,,,,1
450777,IE,VW GROUP PC,,AUDI AG,AUDI AG,N/A,e1*2001/116*0430*35,B8,SCNHAF1,FM6B1002PB822S57MMEM1,Audi,A5 Sportback,M1,,1655,,132,,2817,1581,1570,Diesel,M,1968,140,,,,,,,1
450786,IE,VW GROUP PC,,AUDI AG,AUDI AG,N/A,e1*2001/116*0430*37,B8,L2DEUAF1,FM6DJ002P8W08S57MMEM1,Audi,A4 Limousine,M1,,1505,,111,,2828,1561,1554,Diesel,M,1968,110,,,,,,,6
450789,IE,VW GROUP PC,,AUDI AG,AUDI AG,N/A,e1*2001/116*0430*37,B8,L2DETAF1,FD7CK006P8W13S57MMEM1,Audi,A4 Limousine,M1,,1555,,113,,2828,1561,1554,Diesel,M,1968,140,,,,,,,1
450799,IE,VW GROUP PC,,AUDI AG,AUDI AG,N/A,e1*2001/116*0430*38,B8,L2DEUAF1,FD7CK006P8W04S57MMEM2,Audi,A4 Limousine,M1,,1545,,101,,2828,1561,1554,Diesel,M,1968,110,,,,,,,5
