ID,MS,Mp,VFN,Mh,Man,MMS,TAN,T,Va,Ve,Mk,Cn,Ct,Cr,m (kg),Mt,Enedc (g/km),Ewltp (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW),z (Wh/km),It,Ernedc (g/km),Erwltp (g/km),De,Vf,r
1858491,IT,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA MOTOR EUROPE NV/SA,E11*2001/116*0350*11,AR2,ZGR21(WC),ZGR21L-GWFEPW(1M),TOYOTA,TOYOTA VERSO,M1,M1,1505,,158,,2780,1540,,PETROL,M,1798,108,,,,,,,1
1858500,IT,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA MOTOR EUROPE NV/SA,E11*2001/116*0305*20,E15UT(A),NRE185(W),NRE185L-DWFNZW(7W),TOYOTA,TOYOTA AURIS,M1,M1,1280,,132,,2600,1525,1510,PETROL,M,1197,85,,,,,,,4
1858521,IT,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,,E11*2001/116*0236*06,,,,TOYOTA,AYGO,M1,M1,905,,106,,2340,,,PETROL,M,998,50,,,,,,,1
1858533,IT,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA MOTOR EUROPE NV/SA,E11*2001/116*0350*11,AR2,WAR20(WF),WAR20L-GWFEYW(1M),TOYOTA,TOYOTA VERSO,M1,M1,1595,,119,,2780,1540,1540,DIESEL,M,1598,82,,,,,,,7
1858570,IT,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,,E11*2001/116*0249,,,,TOYOTA,YARIS,M1,M1,1110,,141,,2460,,,PETROL,M,1298,64,,,,,,,1
1858578,IT,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA MOTOR EUROPE NV/SA,E11*2001/116*0305*18,E15UT(A),WWE185(H),WWE185L-DHFNXW(1U),TOYOTA,TOYOTA AURIS,M1,M1,1370,,110,,2600,1515,1500,DIESEL,M,1598,82,,,,,,,22
1858586,IT,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA MOTOR EUROPE NV/SA,E11*2001/116*0206*14,XE2(A),AVE30(E),AVE30L-AEXLHW(3Q),TOYOTA,LEXUS IS300H,M1,M1,1695,,107,,2800,1535,1550,PETROL,M,2494,133,,,,,,,5
1858641,IT,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA MOTOR EUROPE NV/SA,E11*2007/46*0150*04,A10(A),ZWA10(H),ZWA10L-AHXBBW (3E),TOYOTA,LEXUS CT200H,M1,M1,1485,,94,,2600,1525,1520,PETROL,M,1798,73,,,,,,,10
1858661,IT,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA MOTOR EUROPE NV/SA,E11*2007/46*0152*01,XP13M,NLP13FMH,NLP130L CHFRXW 1B,,YARIS,M1,M1,1190,,104,,2510,1485,,DIESEL,M,1364,66,,,,,,,1
1858672,IT,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA MOTOR EUROPE NV/SA,E11*2007/46*0018*11,HE15U(A),ZWE186(W),ZWE186L-DWXNBW(9W),TOYOTA,TOYOTA AURIS,M1,M1,1410,,83,,2600,1525,1515,PETROL,M,1798,73,,,,,,,1
1858679,IT,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA MOTOR EUROPE NV/SA,E11*2007/46*0152*09,XP13M(A),NHP13(MH),NHP130L-CHXNBW(1K),TOYOTA,TOYOTA YARIS HYBRID,M1,M1,1160,,75,,2510,1485,1470,PETROL,M,1497,54,,,,,,,3524
1858703,IT,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA MOTOR EUROPE NV/SA,E6*2001/116*0106*11,HS19(A),AWL10(E),AWL10L-BEXQHW(7M),TOYOTA,LEXUS GS300H,M1,M1,1810,,115,,2855,1580,1605,PETROL,M,2494,133,,,,,,,1
1858720,IT,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA MOTOR EUROPE NV/SA,E11*2001/116*0305*20,E15UT(A),NRE185(W),NRE185L-DWFGZW(6W),TOYOTA,TOYOTA AURIS,M1,M1,1280,,132,,2600,1515,1500,PETROL,M,1197,85,,,,,,,1
1858728,IT,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA MOTOR EUROPE NV/SA,E6*2001/116*0105*17,XA3(A),WWA42(N),WWA42L-ANFGRW(5T),TOYOTA,TOYOTA RAV4,M1,M1,1610,,124,,2660,1560,1560,DIESEL,M,1995,105,,,,,,,1
1858761,IT,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA MOTOR EUROPE NV/SA,E11*2007/46*0150*05,A10(A),ZWA10(H),ZWA10L-AHXBBW(3F),TOYOTA,LEXUS CT200H,M1,M1,1485,,94,,2600,1525,1520,PETROL,M,1798,73,,,,,,,249
1858783,IT,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA MOTORSPORT GMBH,E11*2007/46*3641*00,"AX1T(EU,M)",NGX50(H),NGX50L-AHXEXW(3A),TOYOTA,TOYOTA C-HR,M1,M1,1535,,144,,2640,1540,1560,PETROL,M,1197,85,,,,,,,1
1858800,IT,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA MOTOR EUROPE NV/SA,E6*2007/46*0166*01,"XA4(EU,M)",AVA44(N),AVA44L-ANXGBW(6S),TOYOTA,TOYOTA RAV4,M1,M1,1765,,118,,2660,1560,1560,PETROL,M,2494,114,,,,,,,33
1858807,IT,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA MOTOR EUROPE NV/SA,E11*2001/116*0350*11,AR2,ZGR21(WF),ZGR21L-GWXEPW(1M),TOYOTA,TOYOTA VERSO,M1,M1,1525,,153,,2780,1540,1540,PETROL,M,1798,108,,,,,,,4
1858822,IT,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA MOTOR EUROPE NV/SA,E11*2007/46*0152*10,XP13M(A),NLP13(MH),NLP130L-CHFRXW(3L),TOYOTA,TOYOTA YARIS,M1,M1,1160,,91,,2510,1475,1460,DIESEL,M,1364,66,,,,,,,102
1858839,IT,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA MOTOR EUROPE NV/SA,E11*2007/46*0152*09,XP13M(A),NSP13(MH),NSP130L-CHFGKW(5K),TOYOTA,TOYOTA YARIS,M1,M1,1115,,119,,2510,1460,1445,PETROL,M,1329,73,,,,,,,18
1858847,IT,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA MOTOR EUROPE NV/SA,E6*2007/46*0166*03,"XA4(EU,M)",AVA42(N),AVA42L-ANXGBW(5T),TOYOTA,TOYOTA RAV4,M1,M1,1700,,116,,2660,1560,1560,PETROL,M,2494,114,,,,,,,2
1858884,IT,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA MOTOR EUROPE NV/SA,E11*2001/116*0305*19,E15UT(A),WWE185(W),WWE185L-DWFGXW(1V),TOYOTA,TOYOTA AURIS,M1,M1,1395,,110,,2600,1515,1500,DIESEL,M,1598,82,,,,,,,1
1859081,IT,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA MOTOR EUROPE NV/SA,E6*2007/46*0166*01,"XA4(EU,M)",AVA44(N),AVA44L-ANXMBW(3S),TOYOTA,TOYOTA RAV4,M1,M1,1765,,117,,2660,1570,1570,PETROL,M,2494,114,,,,,,,18
1859097,IT,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA MOTOR EUROPE NV/SA,E11*2001/116*0305*20,E15UT(A),WWE185(H),WWE185L-DHFGXW(1W),TOYOTA,TOYOTA AURIS,M1,M1,1370,,110,,2600,1515,1500,DIESEL,M,1598,82,,,,,,,2
1859112,IT,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA MOTOR EUROPE NV/SA,E11*2001/116*0305*20,E15UT(A),WWE185(H),WWE185L-DHFGXW(1W),TOYOTA,TOYOTA AURIS,M1,M1,1370,,110,,2600,1515,1500,DIESEL,M,1598,82,,,,,,,5
1859119,IT,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA MOTOR EUROPE NV/SA,E11*2007/46*0018*11,HE15U(A),ZWE186(H),ZWE186L-DHXDBW(1W),TOYOTA,TOYOTA AURIS,M1,M1,1385,,82,,2600,1525,1515,PETROL,M,1798,73,,,,,,,7
1859148,IT,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,,E6*2001/116*0105*04,,,,TOYOTA,RAV4,M1,M1,1705,,186,,2560,,,DIESEL,M,2231,110,,,,,,,1
1859210,IT,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA MOTOR EUROPE NV/SA,E11*2007/46*3641*00,"AX1T(EU,M)",ZYX10(H),ZYX10L-AHXNBW(1A),TOYOTA,TOYOTA C-HR,M1,M1,1455,,86,,2640,1550,1570,PETROL,M,1798,72,,,,,,,513
1859280,IT,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA MOTOR EUROPE NV/SA,E6*2007/46*0166*01,"XA4(EU,M)",AVA44(N),AVA44L-ANXMBW(5S),TOYOTA,TOYOTA RAV4,M1,M1,1765,,118,,2660,1560,1560,PETROL,M,2494,114,,,,,,,55
1859292,IT,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA MOTOR EUROPE NV/SA,E2*2007/46*0537*02,V,A,BHXH-N2B00K(1C),TOYOTA,PROACE,M1,M1,1611,,133,,2925,1630,1618,DIESEL,M,1560,85,,,,,,,154
1859298,IT,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,,E6*98/14*0066,,,,TOYOTA,,M1,M1,1170,,133,,2500,,,DIESEL,M,1364,55,,,,,,,1
1859319,IT,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA MOTOR EUROPE NV/SA,E11*2007/46*0150*05,A10(A),ZWA10(H),ZWA10L-AHXEBW(1F),TOYOTA,LEXUS CT200H,M1,M1,1445,,82,,2600,1535,1530,PETROL,M,1798,73,,,,,,,1
1859331,IT,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA MOTOR EUROPE NV/SA,E11*2007/46*0152*09,XP13M(A),NLP13(MH),NLP130L-CHFNXW(4K),TOYOTA,TOYOTA YARIS,M1,M1,1160,,91,,2510,1475,1460,DIESEL,M,1364,66,,,,,,,114
1859371,IT,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA MOTOR EUROPE-TOYOTA MOTORSPORT,E11*2007/46*3641*00,"AX1T(EU,M)",NGX10(H),NGX10L-AHXNXW(1A),TOYOTA,TOYOTA C-HR,M1,M1,1465,,134,,2640,1550,1570,PETROL,M,1197,85,,,,,,,2
1859420,IT,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA MOTOR EUROPE NV/SA,E6*2007/46*0001*06,J15TM,GDJ155(MC),GDJ155L-GJFEYW(1G),TOYOTA,TOYOTA LAND CRUISER (150 SERIES),M1,M1,2085,,190,,2450,1585,1585,DIESEL,M,2755,130,,,,,,,13
1859434,IT,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA MOTORSPORT GMBH,E11*2007/46*3641*00,"AX1T(EU,M)",ZYX10(H),ZYX10L-AHXGBW(3A),TOYOTA,TOYOTA C-HR,M1,M1,1495,,87,,2640,1540,1560,PETROL,M,1798,72,,,,,,,103
1859437,IT,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA MOTOR EUROPE NV/SA,E11*2007/46*0152*10,XP13M(A),NLP13(MH),NLP130L-CHFNXW(4L),TOYOTA,TOYOTA YARIS,M1,M1,1165,,91,,2510,1475,1460,DIESEL,M,1364,66,,,,,,,848
1859445,IT,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA MOTOR EUROPE NV/SA,E11*2001/116*0236*12,AB1,KGB40(H),KGB40L-AHMGKW(1N),TOYOTA,TOYOTA AYGO,M1,M1,930,,88,,2340,1430,1420,PETROL,M,998,51,,,,,,,3
1859466,IT,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA MOTOR EUROPE NV/SA,E11*2001/116*0236*12,AB1,KGB40(H),KGB40L-AHMGKW(2N),TOYOTA,TOYOTA AYGO,M1,M1,930,,95,,2340,1430,,PETROL,M,998,51,,,,,,,1
1859473,IT,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA MOTOR EUROPE NV/SA,E11*2007/46*0018*11,HE15U(A),ZWE186(W),ZWE186L-DWXNBW(5W),TOYOTA,TOYOTA AURIS,M1,M1,1410,,92,,2600,1515,1505,PETROL,M,1798,73,,,,,,,50
