ID,MS,Mp,VFN,Mh,Man,MMS,TAN,T,Va,Ve,Mk,Cn,Ct,Cr,m (kg),Mt,Enedc (g/km),Ewltp (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW),z (Wh/km),It,Ernedc (g/km),Erwltp (g/km),De,Vf,r
1809897,LT,,,MAZDA,MAZDA MOTOR CORPORATION,MAZDA MOTOR CORPORATION,E1*2007/46*1335*04,DJ1,6H5,51W0,MAZDA,MAZDA 2,M1,,1050,,105,,2570,1495,1485,PETROL,M,1496,,,,,,,,1
1809905,LT,,,MAZDA,MAZDA MOTOR CORPORATION,MAZDA MOTOR CORPORATION,E1*2007/46*1335*11,DJ1,6H5,51W0,MAZDA,MAZDA 2,M1,,1050,,105,,2570,1495,1485,PETROL,M,1496,,,,,,,,1
1809922,LT,,,MAZDA,MAZDA MOTOR CORPORATION,MAZDA MOTOR CORPORATION,E1*2007/46*1335*08,DJ1,6H5,A1W0,MAZDA,MAZDA 2,M1,,1075,,112,,2570,1495,1485,PETROL,M,1496,,,,,,,,1
1809954,LT,,,MAZDA,MAZDA MOTOR CORPORATION,MAZDA MOTOR CORPORATION,E11*2001/116*0262*00,BL,626,81W0,MAZDA,MAZDA 3,M1,,1315,,128,,2700,1555,1560,PETROL,M,1998,,,,,,,,1
1809972,LT,,,MAZDA,MAZDA MOTOR CORPORATION,MAZDA MOTOR CORPORATION,E11*2001/116*0262*21,BL,626,81W0,MAZDA,MAZDA 3,M1,,1315,,128,,2700,1555,1560,PETROL,M,1998,,,,,,,,1
1809993,LT,,,MAZDA,MAZDA MOTOR CORPORATION,MAZDA MOTOR CORPORATION,E11*2001/116*0262*20,BL,646,81W0,MAZDA,MAZDA 3,M1,,1320,,129,,2700,1555,1560,PETROL,M,1998,,,,,,,,8
1809999,LT,,,MAZDA,MAZDA MOTOR CORPORATION,MAZDA MOTOR CORPORATION,E11*2001/116*0262*15,BL,646,81WX,MAZDA,MAZDA 3,M1,,1315,,129,,2700,1555,1560,PETROL,M,1998,,,,,,,,1
1810033,LT,,,MAZDA,MAZDA MOTOR CORPORATION,MAZDA MOTOR CORPORATION,E1*2001/116*0448*27,GH,623,87W0,MAZDA,MAZDA 6,M1,,1440,,148,,2830,1585,1575,PETROL,M,2488,,,,,,,,1
1810047,LT,,,MAZDA,MAZDA MOTOR CORPORATION,MAZDA MOTOR CORPORATION,E1*2001/116*0448*28,GH,626,66W0,MAZDA,MAZDA 6,M1,,1375,,129,,2830,1585,1575,PETROL,M,1998,,,,,,,,2
1811951,LT,,,MAZDA,MAZDA MOTOR CORPORATION,MAZDA MOTOR CORPORATION,E1*2001/116*0448*29,GH,627,86W00,MAZDA,MAZDA 6,M1,,1415,,139,,2830,1585,1575,PETROL,M,1998,,,E11 19,1.1,,,,2
1838276,LT,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2007/46*0627*25,AUV,VACCZCAX0,FD7FD7CW001N7MMON1ML61VR2,"VOLKSWAGEN, VW",GOLF,M1,,1338,,118,,2620,1533,1504,PETROL,M,1395,,,,,,,,8
1839768,LT,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2001/116*0307*49,3C,AADFCBX0,AD6AD6D9003SV7MMVR261,"VOLKSWAGEN, VW",PASSAT,M1,,1614,,131,,2786,1578,1562,DIESEL,M,1968,,,,,,,,1
1837577,LT,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2001/116*0356*18,2EC2,KM4D1350E,LEB2LXA9,"VOLKSWAGEN, VW",CRAFTER,M1,,2356,,202,,4325,1710,1716,DIESEL,M,1968,,,,,,,,1
1837588,LT,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2007/46*0623*22,AU,GA45CXXBX0,FM5FM5A4051N7MMON1VL61VR2,"VOLKSWAGEN, VW",GOLF,M1,,1321,,103,,2620,1527,1496,DIESEL,M,1598,,,,,,,,2
