ID,MS,Mp,VFN,Mh,Man,MMS,TAN,T,Va,Ve,Mk,Cn,Ct,Cr,m (kg),Mt,Enedc (g/km),Ewltp (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW),z (Wh/km),It,Ernedc (g/km),Erwltp (g/km),De,Vf,r
1806378,LU,,,MAZDA,MAZDA MOTOR CORPORATION,MAZDA MOTOR CORPORATION,E13*2007/46*1075*13,GHE,F97,60EMMB,MAZDA,MAZDA 6,M1,,1390,,139,,2750,1585,1595,PETROL,M,1998,120,,,,,,,1
1802665,LU,,,MAZDA,MAZDA MOTOR CORPORATION,MAZDA MOTOR CORPORATION,E11*2001/116*0262*20,BL,646,81WX,MAZDA,MAZDA 3,M1,,1320,,129,,2700,1555,1560,PETROL,M,1998,88,,,,,,,10
1851032,LU,,,MAZDA,MAZDA MOTOR CORPORATION,MAZDA MOTOR CORPORATION,E11*2001/116*0262*20,BL,626,81WX,MAZDA,MAZDA 3,M1,,1315,,128,,2700,1555,1560,PETROL,M,1998,88,,,,,,,1
1777771,LU,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2007/46*0401*17,7N,DFLAX0ACFD6,FD62E0317MMN5VR2VW62,VOLKSWAGEN,SHARAN,M1,,1793,,137,,2920,1571,1617,DIESEL,M,1968,110,,,,,,,1
1787828,LU,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2001/116*0450*32,5N,ACDFGAX0,FM6FM6BB005KN5N2TVR27MM61,VOLKSWAGEN,TIGUAN,M1,,1574,,125,,2677,1589,1580,DIESEL,M,1968,110,,,,,,,1
1819548,LU,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2001/116*0252*47,2K,ACDFSFX0,N0J2FM5FM5A4057N1SBVR27MMLL364,VOLKSWAGEN,CADDY,M1,,1442,,120,,2682,1543,1534,DIESEL,M,1968,55,,,,,,,13
1801793,LU,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2001/116*0220*46,7HC,GCXHA320X1,LMAM6500916NVR27MMG03L65391/23,VOLKSWAGEN,KOMBI,M1,,2052,,175,,3400,1634,1640,DIESEL,M,1968,110,,,,,,,1
1830711,LU,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2001/116*0450*32,5N,ACDJVAX0,FM6FM62Q036KN5N1TVR27MM62,VOLKSWAGEN,TIGUAN,M1,,1490,,130,,2677,1589,1580,PETROL,M,1395,110,,,,,,,1
1815883,LU,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2007/46*0623*31,AU,GAC4CZDAX0,FD7FD7CW002N7MMON1ML69VR2N,VOLKSWAGEN,GOLF,M1,,1302,,121,,2620,1549,1521,PETROL,M,1395,110,,,,,,,3
1818873,LU,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2001/116*0450*32,5N,ACDFGAX1,AD7AD7DL003GN5N4NVR27MM62,VOLKSWAGEN,TIGUAN,M1G,,1700,,147,,2677,1586,1576,DIESEL,M,1968,110,,,,,,,11
1798977,LU,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2001/116*0307*47,3C,ACCJXAX1,AD6AD6D9016SH7MMVR265,VOLKSWAGEN,PASSAT,M1,,1674,,168,,2786,1586,1570,PETROL,M,1984,206,,,,,,,4
1779901,LU,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2001/116*0211*42,1T,DGDAAC,FM6FM62S0267MMS50VR261,VOLKSWAGEN,TOURAN,M1,,1539,,119,,2786,1569,1542,DIESEL,M,1598,85,,,,,,,1
1840718,LU,,,OPEL AUTOMOBILE,OPEL AUTOMOBILE GMBH,OPEL AUTOMOBILE GMBH,E4*2007/46*0537*18,J-A,JMYXFXX,C69DGXKYXXB,OPEL,MOKKA X,M1,,1449,,106,,2555,1541,1540,DIESEL,M,1598,100,,,,,,,1
1840726,LU,,,OPEL AUTOMOBILE,OPEL AUTOMOBILE GMBH,OPEL AUTOMOBILE GMBH,E4*2007/46*0996*10,B-K,DA0FEBA12,BK2H2ABAB5,OPEL,ASTRA SPORTS,M1,,1415,,119,,2662,1548,1565,DIESEL,M,1598,100,,,,,,,1
1840735,LU,,,OPEL AUTOMOBILE,OPEL AUTOMOBILE GMBH,OPEL AUTOMOBILE GMBH,E8*2007/46*0264*03,Z-B,DA0FEBC12,BA1L2ACEA5,OPEL,INSIGNIA,M1,,1567,,137,,2829,1607,1610,DIESEL,M,1598,100,,,,,,,5
1840743,LU,,,OPEL AUTOMOBILE,OPEL AUTOMOBILE GMBH,OPEL AUTOMOBILE GMBH,E1*2001/116*0379*41,S-D,BADUC12,BX2F5JBFK5,OPEL,CORSA-E,M1,,1199,,122,,2510,1472,1464,PETROL,M,1364,74,,,,,,,10
1840747,LU,,,OPEL AUTOMOBILE,OPEL AUTOMOBILE GMBH,OPEL AUTOMOBILE GMBH,E1*2001/116*0379*41,S-D,CADUC12,BX2F5JBFK5,OPEL,CORSA-E,M1,,1237,,122,,2510,1472,1464,PETROL,M,1364,74,,,,,,,1
1840756,LU,,,OPEL AUTOMOBILE,OPEL AUTOMOBILE GMBH,OPEL AUTOMOBILE GMBH,E1*2001/116*0379*41,S-D,CADRA12,BX2E6AH7J5,OPEL,CORSA-E,M1,,1199,,139,,2510,1472,1464,PETROL,M,1398,66,,,,,,,14
1840764,LU,,,OPEL AUTOMOBILE,OPEL AUTOMOBILE GMBH,OPEL AUTOMOBILE GMBH,E1*2001/116*0379*41,S-D,CADRA12,BX2F2AH7J5,OPEL,CORSA-E,M1,,1199,,139,,2510,1472,1464,PETROL,M,1398,66,,,,,,,1
1840773,LU,,,OPEL AUTOMOBILE,OPEL AUTOMOBILE GMBH,OPEL AUTOMOBILE GMBH,E1*2001/116*0379*41,S-D,BADTC12,BX1C6EHTA4,OPEL,ADAM,M1,,1120,,118,,2311,1472,1464,PETROL,M,1398,74,,,,,,,1
1840777,LU,,,OPEL AUTOMOBILE,OPEL AUTOMOBILE GMBH,OPEL AUTOMOBILE GMBH,E4*2007/46*0204*31,P-J/SW,EADLA12,BX2M3JTPA7,OPEL,ZAFIRA TOURER,M1,,1613,,148,,2760,1577,1577,PETROL,M,1364,103,,,,,,,1
1840788,LU,,,OPEL AUTOMOBILE,OPEL AUTOMOBILE GMBH,OPEL AUTOMOBILE GMBH,E4*2007/46*0996*11,B-K,DA0FBBA12,BA2G1JBDJ5,OPEL,ASTRA,M1,,1378,,99,,2662,1548,1565,DIESEL,M,1598,70,,,,,,,2
