ID,MS,Mp,VFN,Mh,Man,MMS,TAN,T,Va,Ve,Mk,Cn,Ct,Cr,m (kg),Mt,Enedc (g/km),Ewltp (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW),z (Wh/km),It,Ernedc (g/km),Erwltp (g/km),De,Vf,r
379991,LV,,,VOLVO,VOLVO CAR CORPORATION,VOLVO CAR CORPORATION,e9*2007/46*0023*26,F,FSA4,FSA4CD??,VOLVO,S60,M1,M1,1576,,119,,2776,1588,1585,DIESEL,M,1969,165,,,,,,,1
362998,LV,,,VOLVO,VOLVO CAR CORPORATION,VOLVO CAR CORPORATION,e9*2007/46*0023*27,F,FSA8,FSA8C1??,VOLVO,S60,M1,M1,1547,,102,,2776,1588,1585,DIESEL,M,1969,140,,,,,,,1
363100,LV,,,VOLVO,VOLVO CAR CORPORATION,VOLVO CAR CORPORATION,e4*2001/116*0076*43,M,MV79,MV79L0??,VOLVO,V40,M1,M1,1453,,108,,2647,1546,1533,DIESEL,M,1969,110,,,,,,,1
482881,LV,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2001/116*0307*48,3C,AACHHBX0,FD6FD6D9011SV7MMVR266,VW,PASSAT,M1,M1,1505,,145,,2786,1578,1562,PETROL,M,1984,162,,,,,,,1
489249,LV,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2007/46*0627*28,AUV,VACDDYAX0,FD7FD7CW002N7MMON1VL61VR2,VW,GOLF,M1,M1,1395,,103,,2620,1533,1504,DIESEL,M,1598,85,,,,,,,1
485319,LV,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2007/46*0623*22,AU,GAC45CZCAX0,FM6FM6AJ015N7MMON1ML61VR2,VW,GOLF,M1,M1,1247,,120,,2620,1527,1496,PETROL,M,1395,92,,,,,,,1
489995,LV,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2007/46*0539*21,16,AACUUAX0,FM5FM5A4051LLN617MMN1VR2,VW,JETTA,M1,M1,1395,,107,,2648,1527,1530,DIESEL,M,1968,81,,,,,,,1
486396,LV,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2001/116*0450*31,5N,ACDFGAX0,FM6FM6BB005KN5N3TVR27MM61,VW,TIGUAN,M1,M1,1574,,125,,2677,1579,1570,DIESEL,M,1968,110,,,,,,,1
488745,LV,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2007/46*0627*27,AUV,VACDDYAX0,FM5FM5A4051N7MMON1VL61VR2,VW,GOLF,M1,M1,1376,,106,,2620,1533,1504,DIESEL,M,1598,85,,,,,,,1
490716,LV,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2001/116*0220*46,7HC,GCXGB320X0,NNFM52Z1116NVR27MMG02L65391,VW,KOMBI,M1,M1,1797,,157,,3000,1622,1628,DIESEL,M,1968,75,,,,,,,1
490334,LV,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2007/46*0539*22,16,AACZCAX0,FM6FM6AJ015LLN617MMN1VR2,VW,JETTA,M1,M1,1341,,122,,2648,1527,1530,PETROL,M,1395,92,,,,,,,1
484925,LV,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2007/46*0623*21,AU,GAC45CZCAX0,FM6FM6AJ009N7MMON1ML61VR2,VW,GOLF,M1,M1,1247,,120,,2620,1527,1496,PETROL,M,1395,92,,,,,,,1
486271,LV,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2007/46*0623*28,AU,GAC4CHHAX0,FM6FM62Q037S7MMON1ML72VR2N,VW,GOLF,M1,M1,1386,,148,,2626,1533,1503,PETROL,M,1984,169,,,,,,,1
483808,LV,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2001/116*0307*49,3C,AADFCAX1,AD6AD6D9003SH7MMVR261,VW,PASSAT,M1,M1,1614,,131,,2786,1578,1562,DIESEL,M,1968,140,,,,,,,1
481821,LV,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2001/116*0307*47,3C,AACZCAX0,FD7FD7CW001SV7MMVR263,VW,PASSAT,M1,M1,1395,,114,,2786,1578,1562,PETROL,M,1395,92,,,,,,,1
485014,LV,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2007/46*0401*16,7N,DFLAX0AF,FD6FD62E0317MMN7VR2VW62,VW,SHARAN,M1,M1,1843,,137,,2920,1559,1605,DIESEL,M,1968,110,,,,,,,1
485604,LV,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2001/116*0450*30,5N,ACCZEAX0,NFD6FD6D9012KN2TVR27MM62,VW,TIGUAN,M1,M1,1498,,138,,2677,1579,1570,PETROL,M,1395,110,,,,,,,1
486420,LV,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2001/116*0450*31,5N,ACDFGCX0,FM6FM6BB005KN5N3TVR27MM62,VW,TIGUAN,M1,M1,1574,,123,,2677,1579,1570,DIESEL,M,1968,85,,,,,,,1
487528,LV,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2007/46*0627*21,AUV,VACCXXBX0,FM5FM5A4051N7MMON1VL61VR2,VW,GOLF,M1,M1,1395,,103,,2620,1533,1502,DIESEL,M,1598,81,,,,,,,1
490566,LV,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2007/46*0539*23,16,AACZCAX0,FM6FM6AJ015LLN617MMN1VR2,VW,JETTA,M1,M1,1341,,122,,2648,1527,1530,PETROL,M,1395,92,,,,,,,1
490053,LV,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2007/46*0539*21,16,AACZCAX0,FD7FD7AM006LLN617MMN1VR2,VW,JETTA,M1,M1,1362,,116,,2648,1527,1530,PETROL,M,1395,92,,,,,,,1
490049,LV,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2007/46*0539*21,16,AACZCAX0,FD7FD7AM006LLN617MMN1VR2,VW,JETTA,M1,M1,1362,,116,,2648,1527,1530,PETROL,M,1395,92,,,,,,,1
