ID,MS,Mp,VFN,Mh,Man,MMS,TAN,T,Va,Ve,Mk,Cn,Ct,Cr,m (kg),Mt,Enedc (g/km),Ewltp (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW),z (Wh/km),It,Ernedc (g/km),Erwltp (g/km),De,Vf,r
1895819,MT,,,MAZDA,MAZDA MOTOR CORPORATION,MAZDA MOTOR CORPORATION,E1*2007/46*1335*10,DJ1,6H5,51W0,MAZDA,MAZDA 2,M1,,1050,,105,,2570,1495,1485,PETROL,M,1496,,,,,,,,1
1895833,MT,,,MAZDA,MAZDA MOTOR CORPORATION,MAZDA MOTOR CORPORATION,E1*2007/46*1335*08,DJ1,6HV,51W0,MAZDA,MAZDA 2,M1,,1045,,110,,2570,1495,1485,PETROL,M,1496,,,,,,,,1
1895851,MT,,,MAZDA,MAZDA MOTOR CORPORATION,MAZDA MOTOR CORPORATION,E1*2007/46*1335*04,DJ1,6HV,51W0,MAZDA,MAZDA 2,M1,,1045,,110,,2570,1495,1485,PETROL,M,1496,,,,,,,,1
1895903,MT,,,MAZDA,MAZDA MOTOR CORPORATION,MAZDA MOTOR CORPORATION,E1*2007/46*1335*12,DJ1,6HV,51W01,MAZDA,MAZDA 2,M1,,1045,,110,,2570,1495,1485,PETROL,M,1496,,,,,,,,1
1895927,MT,,,MAZDA,MAZDA MOTOR CORPORATION,MAZDA MOTOR CORPORATION,E1*2007/46*1335*08,DJ1,6H5,A1W0,MAZDA,MAZDA 2,M1,,1075,,112,,2570,1495,1485,PETROL,M,1496,,,,,,,,1
1922345,MT,,,MAZDA,MAZDA MOTOR CORPORATION,MAZDA MOTOR CORPORATION,E1*2007/46*1335*10,DJ1,6HV,51W0,MAZDA,MAZDA 2,M1,,1045,,110,,2570,1495,1485,PETROL,M,1496,,,,,,,,1
1922367,MT,,,MAZDA,MAZDA MOTOR CORPORATION,MAZDA MOTOR CORPORATION,E1*2007/46*1335*08,DJ1,6H5,51W0,MAZDA,MAZDA 2,M1,,1050,,105,,2570,1495,1485,PETROL,M,1496,,,,,,,,1
1922399,MT,,,MAZDA,MAZDA MOTOR CORPORATION,MAZDA MOTOR CORPORATION,E1*2007/46*1335*08,DJ1,6HV,51W0,MAZDA,MAZDA 2,M1,,1045,,110,,2570,1495,1485,PETROL,M,1496,,,,,,,,1
1922404,MT,,,MAZDA,MAZDA MOTOR CORPORATION,MAZDA MOTOR CORPORATION,E1*2007/46*1335*08,DJ1,6HV,51W0,MAZDA,MAZDA 2,M1,,1045,,110,,2570,1495,1485,PETROL,M,1496,,,,,,,,1
1922411,MT,,,MAZDA,MAZDA MOTOR CORPORATION,MAZDA MOTOR CORPORATION,E1*2007/46*1335*10,DJ1,6HV,51W0,MAZDA,MAZDA 2,M1,,1045,,110,,2570,1495,1485,PETROL,M,1496,,,,,,,,1
1922414,MT,,,MAZDA,MAZDA MOTOR CORPORATION,MAZDA MOTOR CORPORATION,E1*2007/46*1335*10,DJ1,6H5,51W0,MAZDA,MAZDA 2,M1,,1050,,105,,2570,1495,1485,PETROL,M,1496,,,,,,,,1
1922418,MT,,,MAZDA,MAZDA MOTOR CORPORATION,MAZDA MOTOR CORPORATION,E1*2007/46*1335*07,DJ1,6H5,51W0,MAZDA,MAZDA 2,M1,,1050,,105,,2570,1495,1485,PETROL,M,1496,,,,,,,,1
1907533,MT,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VW GROUP PC,E1*2001/116*0510*28,6R,ABCHZR,FM5FM52T106N2VR27MM61,VOLKSWAGEN,POLO,M1,,1107,,107,,2456,1441,1434,PETROL,M,1197,,,,,,,,1
2000434,MT,,,AUTOMOBILES PEUGEOT,AUTOMOBILES PEUGEOT,AUTOMOBILES PEUGEOT,E2*2007/46*0080*34,8,DBHZ,T/S,PEUGEOT,508,M1,,1485,,102,,2817,1579,1552,DIESEL,M,1560,,,,,,,,1
2000441,MT,,,AUTOMOBILES PEUGEOT,AUTOMOBILES PEUGEOT,AUTOMOBILES PEUGEOT,E2*2007/46*0080*34,8,DBHZ,T/S,PEUGEOT,508,M1,,1485,,102,,2817,1579,1552,DIESEL,M,1560,,,,,,,,1
2000448,MT,,,AUTOMOBILES PEUGEOT,AUTOMOBILES PEUGEOT,AUTOMOBILES PEUGEOT,E2*2007/46*0080*34,8,DBHZ,T/S,PEUGEOT,508,M1,,1485,,102,,2817,1579,1552,DIESEL,M,1560,,,,,,,,1
2000456,MT,,,AUTOMOBILES PEUGEOT,AUTOMOBILES PEUGEOT,AUTOMOBILES PEUGEOT,E2*2007/46*0080*34,8,DAHX,M/S,PEUGEOT,508,M1,,1485,,109,,2817,1579,1552,DIESEL,M,1997,,,,,,,,1
2000464,MT,,,AUTOMOBILES PEUGEOT,AUTOMOBILES PEUGEOT,AUTOMOBILES PEUGEOT,E2*2007/46*0080*31,8,DBHZ,M/1S,PEUGEOT,508,M1,,1485,,99,,2817,1579,1552,DIESEL,M,1560,,,,,,,,1
2000472,MT,,,AUTOMOBILES PEUGEOT,AUTOMOBILES PEUGEOT,AUTOMOBILES PEUGEOT,E2*2007/46*0080*31,8,DAHX,M/S,PEUGEOT,508,M1,,1485,,109,,2817,1579,1552,DIESEL,M,1997,,,,,,,,1
2000480,MT,,,AUTOMOBILES PEUGEOT,AUTOMOBILES PEUGEOT,AUTOMOBILES PEUGEOT,E2*2007/46*0080*32,8,DBHZ,M/S,PEUGEOT,508,M1,,1485,,99,,2817,1579,1552,DIESEL,M,1560,,,,,,,,1
2000488,MT,,,AUTOMOBILES PEUGEOT,AUTOMOBILES PEUGEOT,AUTOMOBILES PEUGEOT,E2*2007/46*0080*34,8,DBHZ,M1S,PEUGEOT,508,M1,,1485,,95,,2817,1579,1552,DIESEL,M,1560,,,,,,,,1
2000495,MT,,,AUTOMOBILES PEUGEOT,AUTOMOBILES PEUGEOT,AUTOMOBILES PEUGEOT,E2*2007/46*0080*34,8,DBHZ,M/1S,PEUGEOT,508,M1,,1485,,95,,2817,1579,1552,DIESEL,M,1560,,,,,,,,1
2000504,MT,,,AUTOMOBILES PEUGEOT,AUTOMOBILES PEUGEOT,AUTOMOBILES PEUGEOT,E2*2007/46*0080*34,8,DBHZ,T/S,PEUGEOT,508,M1,,1485,,102,,2817,1579,1552,DIESEL,M,1560,,,,,,,,1
2000511,MT,,,AUTOMOBILES PEUGEOT,AUTOMOBILES PEUGEOT,AUTOMOBILES PEUGEOT,E2*2007/46*0080*34,8,DBHZ,M/1S,PEUGEOT,508,M1,,1485,,95,,2817,1579,1552,DIESEL,M,1560,,,,,,,,1
