ID,MS,Mp,VFN,Mh,Man,MMS,TAN,T,Va,Ve,Mk,Cn,Ct,Cr,m (kg),Mt,Enedc (g/km),Ewltp (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW),z (Wh/km),It,Ernedc (g/km),Erwltp (g/km),De,Vf,r
2095249,RO,VW GROUP PC,,SEAT,SEAT SA,SEAT SA,E9*2001/116*0067*37,6J,SCCJZC,FM5NFM52T1067MM66,SEAT,IBIZA,M1,M1,1089,,116,,2469,1465,1457,PETROL,M,1197,66,,,,,,,1
2095243,RO,VW GROUP PC,,SEAT,SEAT SA,SEAT SA,E9*2001/116*0067*37,6J,SCCJZC,FM5NFM52T1067MM66,SEAT,IBIZA,M1,M1,1089,,116,,2469,1465,1457,PETROL,M,1197,66,,,,,,,1
2095229,RO,VW GROUP PC,,SEAT,SEAT SA,SEAT SA,E9*2001/116*0067*37,6J,SCCJZC,FM5NFM52T1067MM66,SEAT,IBIZA,M1,M1,1089,,116,,2469,1465,1457,PETROL,M,1197,66,,,,,,,1
2095198,RO,VW GROUP PC,,SEAT,SEAT SA,SEAT SA,E9*2001/116*0067*37,6J,SCCJZC,FM5NFM52T1067MM66,SEAT,IBIZA,M1,M1,1089,,116,,2469,1465,1457,PETROL,M,1197,66,,,,,,,1
2095237,RO,VW GROUP PC,,SEAT,SEAT SA,SEAT SA,E9*2001/116*0067*37,6J,SCCJZC,FM5NFM52T1067MM66,SEAT,IBIZA,M1,M1,1089,,116,,2469,1465,1457,PETROL,M,1197,66,,,,,,,1
2095215,RO,VW GROUP PC,,SEAT,SEAT SA,SEAT SA,E9*2001/116*0067*37,6J,SCCJZC,FM5NFM52T1067MM66,SEAT,IBIZA,M1,M1,1089,,116,,2469,1465,1457,PETROL,M,1197,66,,,,,,,1
2095208,RO,VW GROUP PC,,SEAT,SEAT SA,SEAT SA,E9*2001/116*0067*37,6J,SCCJZC,FM5NFM52T1067MM66,SEAT,IBIZA,M1,M1,1089,,116,,2469,1465,1457,PETROL,M,1197,66,,,,,,,1
2095221,RO,VW GROUP PC,,SEAT,SEAT SA,SEAT SA,E9*2001/116*0067*37,6J,SCCJZC,FM5NFM52T1067MM66,SEAT,IBIZA,M1,M1,1089,,116,,2469,1465,1457,PETROL,M,1197,66,,,,,,,1
2095257,RO,VW GROUP PC,,SEAT,SEAT SA,SEAT SA,E9*2001/116*0067*37,6J,SCCJZC,FM5NFM52T1067MM66,SEAT,IBIZA,M1,M1,1089,,116,,2469,1465,1457,PETROL,M,1197,66,,,,,,,1
1859232,RO,,,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA MOTOR EUROPE NV SA,E6*2007/46*0163*01,"AL2(EU,M)",GYL25(W),GYL25L-AWXGBW(2B),LEXUS,RX450H,M1,M1,2175,,127,,2790,1640,1650,PETROL,M,3456,193,,,,,,,1
