ID,MS,Mp,VFN,Mh,Man,MMS,TAN,T,Va,Ve,Mk,Cn,Ct,Cr,m (kg),Mt,Enedc (g/km),Ewltp (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW),z (Wh/km),It,Ernedc (g/km),Erwltp (g/km),De,Vf,r
536240,SE,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2001/116*0220*46,7HC,GCJKA320X1,LNAD7BT0117NVR27MMG03L66391,VW,KOMBI,M1,,2080,,212,,3400,1622,1628,PETROL,M,1984,150,,,,,,,2
531554,SE,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2001/116*0252*46,2K,ACDFSDX0,N0J2FD6FD62E031N1SBVR27MMLL161,VW,CADDY,M1,,1492,,130,,2682,1537,1528,DIESEL,M,1968,75,,,,,,,1
522276,SE,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2007/46*0627*30,AUV,VACCJSBX1,AD6AD6D9004C7MMON1ML69VR2,VW,GOLF,M1,,1537,,156,,2629,1533,1504,PETROL,M,1798,132,,,,,,,1
537127,SE,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2001/116*0220*46,7HC,MCJKB300X0,NNFM6501116TVR27MMG03L63272,VW,MULTIVAN,M1,,2007,,210,,3000,1624,1630,PETROL,M,1984,110,,,,,,,42
531693,SE,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2001/116*0252*48,2K,ACDFSEX1,N0J2AM6AM62Q032N1SBVR27MMLL371,VW,CADDY,M1,,1571,,150,,2682,1537,1506,DIESEL,M,1968,90,,,,,,,13
537273,SE,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2001/116*0220*46,7HC,MCXEB308X1,NNAD7BT0117TVR27MMG02L64272,VW,MULTIVAN,M1,,2195,,173,,3000,1624,1630,DIESEL,M,1968,150,,,,,,,189
535387,SE,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2001/116*0450*30,5N,ACCZPAX1,NAM6AM62Q040KG4NVR27MM61,VW,TIGUAN,M1G,,1615,,165,,2677,1576,1566,PETROL,M,1984,132,,,,,,,2
532511,SE,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2001/116*0307*46,3C,AADFCAX0,FD6FD6D9002SH7MMVR262,VW,PASSAT,M1,,1549,,119,,2786,1578,1562,DIESEL,M,1968,140,,,,,,,1
535857,SE,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2001/116*0450*30,5N,ACDFHAX1,NAD7AD7DL003GN4TVR27MM61,VW,TIGUAN,M1,,1723,,149,,2677,1576,1566,DIESEL,M,1968,140,,,,,,,2
539082,SE,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2007/46*0623*30,AU,GAC4CPVBX0,FM6FM6AJ015N7MMON1ML63VR2N,VW,GOLF,M1,,1269,,122,,2620,1533,1503,E85,F,1395,92,,,,,,,1
