ID,MS,Mp,VFN,Mh,Man,MMS,TAN,T,Va,Ve,Mk,Cn,Ct,Cr,m (kg),Mt,Enedc (g/km),Ewltp (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW),z (Wh/km),It,Ernedc (g/km),Erwltp (g/km),De,Vf,r
2517639,SI,VW GROUP PC,,SEAT,SEAT SA,SEAT SA,E9*2001/116*0067*37,6J,SCCJZD,FM6NFM62U0097MM67,SEAT,IBIZA / 1.2 / TSI,M1,M1,1102,,119,,2469,1465,1457,PETROL,M,1197,81,,,,,,,1
2517821,SI,VW GROUP PC,,SEAT,SEAT SA,SEAT SA,E9*2001/116*0067*37,6J,SCCJZD,FM6NFM62U0097MM67,SEAT,IBIZA / 1.2 / TSI,M1,M1,1102,,119,,2469,1465,1457,PETROL,M,1197,81,,,,,,,1
2517832,SI,VW GROUP PC,,SEAT,SEAT SA,SEAT SA,E9*2001/116*0067*37,6J,SCCJZD,FM6NFM62U0097MM67,SEAT,IBIZA / 1.2 / TSI,M1,M1,1102,,119,,2469,1465,1457,PETROL,M,1197,81,,,,,,,1
2565327,SI,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2001/116*0211*42,1T,DGDAAC,FM6FM62S0267MMS50VR261,VOLKSWAGEN,TOURAN / 1.6 / TDI,M1,M1,1539,,119,,2786,1561,1534,DIESEL,M,1598,85,,,,,,,1
2535948,SI,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2007/46*0627*26,AUV,SACCZCAX0,FD7FD7CW001N7MMON1ML05VR2,VOLKSWAGEN,GOLF / SPORTSVAN 1.4 / TSI AUT.,M1,M1,1383,,122,,2670,1533,1504,PETROL,M,1395,92,,,,,,,1
2542347,SI,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2001/116*0510*28,6R,ABCJZC,FM5FM52T106N2VR27MM61,VOLKSWAGEN,POLO / 1.2 / TSI,M1,M1,1107,,107,,2456,1441,1434,PETROL,M,1197,66,,,,,,,1
2572070,SI,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E13*2007/46*1167*18,AA,ABCHYB,FM5FM5CF0117MMVR0N1SVW61,VOLKSWAGEN,UP! / 1.0 /,M1,M1,928,,101,,2407,1412,1408,PETROL,M,999,55,,,,,,,1
2518480,SI,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2001/116*0307*49,3C,ACCRLBX0,FM6FM62Q028SV7MMVR263,VOLKSWAGEN,PASSAT / VARIANT 2.0 / TDI,M1,M1,1505,,110,,2786,1578,1562,DIESEL,M,1968,110,,,,,,,1
2551586,SI,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2007/46*0401*15,7N,DFLAX0AF,FM6FM6BB0027MMN7VR2VW61,VOLKSWAGEN,SHARAN / 2.0 / TDI,M1,M1,1822,,130,,2920,1559,1605,DIESEL,M,1968,110,,,,,,,1
2517491,SI,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2001/116*0252*48,2K,ACCZCBX0,N0J2FM6FM62S035N1SBVR27MMLL371,VOLKSWAGEN,CADDY / 1.4 / TSI,M1,M1,1387,,133,,2682,1537,1528,PETROL,M,1395,92,,,,,,,1
2524097,SI,VW GROUP PC,,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2001/116*0307*47,3C,ACCRLBX0,FM6FM62Q028SV7MMVR262,VOLKSWAGEN,PASSAT / VARIANT 2.0 / TDI,M1,M1,1505,,113,,2786,1578,1562,DIESEL,M,1968,110,,,,,,,1
1782181,SI,HYUNDAI,,HYUNDAI,HYUNDAI MOTOR COMPANY,HYUNDAI MOTOR COMPANY,E11*2007/46*2724*03,TLE,F5D61,D72ZZ1,HYUNDAI,TUCSON / 1.7 / CRDI HP DCT,M1,M1,1697,,129,,2670,1620,1631,Diesel,M,1685,104,,,,,,,1
1782184,SI,HYUNDAI,,HYUNDAI,HYUNDAI MOTOR COMPANY,HYUNDAI MOTOR COMPANY,E11*2007/46*2724*03,TLE,F5D61,D72ZZ1,HYUNDAI,TUCSON / 1.7 / CRDI HP DCT,M1,M1,1593,,129,,2670,1620,1631,Diesel,M,1685,104,,,,,,,1
1782189,SI,HYUNDAI,,HYUNDAI,HYUNDAI MOTOR COMPANY,HYUNDAI MOTOR COMPANY,E11*2007/46*2724*03,TLE,F5D61,D72ZZ1,HYUNDAI,TUCSON / 1.7 / CRDI HP DCT,M1,M1,1647,,129,,2670,1620,1631,Diesel,M,1685,104,,,,,,,1
