ID,MS,Mp,VFN,Mh,Man,MMS,TAN,T,Va,Ve,Mk,Cn,Ct,Cr,m (kg),Mt,Enedc (g/km),Ewltp (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW),z (Wh/km),It,Ernedc (g/km),Erwltp (g/km),De,Vf,r
505056,SK,VW GROUP PC,,SEAT,SEAT SA,SEAT SA,E9*2001/116*0067*37,6J,SCCJZD,FM6NFM62U0097MM67,SEAT,IBIZA,M1,,1102,,119,,2469,1465,1457,PETROL,M,1197,81,,,,,,,2
505058,SK,VW GROUP PC,,SEAT,SEAT SA,SEAT SA,E9*2001/116*0067*37,6J,SCCJZD,FM6NFM62U0097MM67,SEAT,IBIZA,M1,,1102,,119,,2469,1465,1457,PETROL,M,1197,81,,,,,,,1
505059,SK,VW GROUP PC,,SEAT,SEAT SA,SEAT SA,E9*2001/116*0067*37,6J,SCCJZD,FM6NFM62U0097MM67,SEAT,IBIZA,M1,,1102,,119,,2469,1465,1457,PETROL,M,1197,81,,,,,,,1
505062,SK,VW GROUP PC,,SEAT,SEAT SA,SEAT SA,E9*2001/116*0067*37,6J,SCCJZD,FM6NFM62U0097MM67,SEAT,IBIZA,M1,,1102,,119,,2469,1465,1457,PETROL,M,1197,81,,,,,,,1
505064,SK,VW GROUP PC,,SEAT,SEAT SA,SEAT SA,E9*2001/116*0067*37,6J,SCCJZD,FM6NFM62U0097MM67,SEAT,IBIZA,M1,,1102,,119,,2469,1465,1457,PETROL,M,1197,81,,,,,,,2
496696,SK,GENERAL MOTORS,,OPEL,ADAM OPEL GMBH,ADAM OPEL AG,e1*2001/116*0379*37,S-D,CADRC12,BX2E6EFXJ5,OPEL,CORSA-E,M1,,1237,,112,,2510,1472,1464,Petrol,M,1398,66,,,,,,,6
496705,SK,GENERAL MOTORS,,OPEL,ADAM OPEL GMBH,ADAM OPEL AG,e1*2001/116*0379*37,S-D,CADRC12,BX2F2EFXJ5,OPEL,CORSA-E,M1,,1259,,112,,2510,1472,1464,Petrol,M,1398,66,,,,,,,2
496708,SK,GENERAL MOTORS,,OPEL,ADAM OPEL GMBH,ADAM OPEL AG,e1*2001/116*0379*37,S-D,CADUC12,BX2F5JBFJ5,OPEL,CORSA-E,M1,,1278,,122,,2510,1472,1464,Petrol,M,1364,74,,,,,,,1
496716,SK,GENERAL MOTORS,,OPEL,ADAM OPEL GMBH,ADAM OPEL AG,e1*2001/116*0379*39,S-D,BABCA12,BX2D3EHTJ5,OPEL,CORSA-E,M1,,1163,,126,,2510,1472,1464,Petrol,M,1229,51,,,,,,,1
496727,SK,GENERAL MOTORS,,OPEL,ADAM OPEL GMBH,ADAM OPEL AG,e1*2001/116*0379*39,S-D,BABCA12,BX2D6EHTJ5,OPEL,CORSA-E,M1,,1199,,126,,2510,1472,1464,Petrol,M,1229,51,,,,,,,1
496734,SK,GENERAL MOTORS,,OPEL,ADAM OPEL GMBH,ADAM OPEL AG,e1*2001/116*0379*39,S-D,BABDA12,BX1C6EHLJ4,OPEL,ADAM,M1,,1141,,125,,2311,1472,1464,Petrol,M,1229,51,,,,,,,3
496743,SK,GENERAL MOTORS,,OPEL,ADAM OPEL GMBH,ADAM OPEL AG,e1*2001/116*0379*39,S-D,BACEC12,BX2F5EFLA5,OPEL,CORSA-E,M1,,1278,,90,,2510,1472,1464,Diesel,M,1248,70,,,,,,,1
496751,SK,GENERAL MOTORS,,OPEL,ADAM OPEL GMBH,ADAM OPEL AG,e1*2001/116*0379*39,S-D,BAD1A12,BX1C6EF2J4,OPEL,ADAM,M1,,1141,,118,,2311,1472,1464,Petrol,M,1398,64,,,,,,,1
496759,SK,GENERAL MOTORS,,OPEL,ADAM OPEL GMBH,ADAM OPEL AG,e1*2001/116*0379*39,S-D,BAD1A12,BX1C6EHTJ4,OPEL,ADAM,M1,,1141,,125,,2311,1472,1464,Petrol,M,1398,64,,,,,,,4
496767,SK,GENERAL MOTORS,,OPEL,ADAM OPEL GMBH,ADAM OPEL AG,e1*2001/116*0379*39,S-D,BAD1A12,BX1D3EF2J4,OPEL,ADAM,M1,,1163,,118,,2311,1472,1464,Petrol,M,1398,64,,,,,,,5
496775,SK,GENERAL MOTORS,,OPEL,ADAM OPEL GMBH,ADAM OPEL AG,e1*2001/116*0379*39,S-D,BAD1A12,BX1D3EHTJ4,OPEL,ADAM,M1,,1163,,125,,2311,1472,1464,Petrol,M,1398,64,,,,,,,6
496784,SK,GENERAL MOTORS,,OPEL,ADAM OPEL GMBH,ADAM OPEL AG,e1*2001/116*0379*39,S-D,BAD3A12,BX1D3EHTA4,OPEL,ADAM,M1,,1163,,108,,2311,1472,1464,LPG,B,1398,64,,,,,,,1
496790,SK,GENERAL MOTORS,,OPEL,ADAM OPEL GMBH,ADAM OPEL AG,e1*2001/116*0379*39,S-D,BADVC12,BX1D6JBWK4,OPEL,ADAM,M1,,1199,,139,,2311,1472,1464,Petrol,M,1364,110,,,,,,,1
496801,SK,GENERAL MOTORS,,OPEL,ADAM OPEL GMBH,ADAM OPEL AG,e1*2001/116*0379*39,S-D,BADVC12,BX2G1JBPK5,OPEL,CORSA-E,M1,,1318,,132,,2510,1472,1464,Petrol,M,1364,110,,,,,,,1
496811,SK,GENERAL MOTORS,,OPEL,ADAM OPEL GMBH,ADAM OPEL AG,e1*2001/116*0379*39,S-D,BAEVA12,BX2G1JBWN5,OPEL,CORSA-E,M1,,1318,,174,,2510,1472,1464,Petrol,M,1598,152,,,,,,,1
496820,SK,GENERAL MOTORS,,OPEL,ADAM OPEL GMBH,ADAM OPEL AG,e1*2001/116*0379*39,S-D,CABCA12,AX2D6EHTJ5,OPEL,CORSA-E,M1,,1199,,126,,2510,1472,1464,Petrol,M,1229,51,,,,,,,1
496828,SK,GENERAL MOTORS,,OPEL,ADAM OPEL GMBH,ADAM OPEL AG,e1*2001/116*0379*39,S-D,CABCA12,BX2D6EHTJ5,OPEL,CORSA-E,M1,,1199,,126,,2510,1472,1464,Petrol,M,1229,51,,,,,,,15
496873,SK,GENERAL MOTORS,,OPEL,ADAM OPEL GMBH,ADAM OPEL AG,e1*2001/116*0379*39,S-D,CACDA12,BX2F5EDTJ5,OPEL,CORSA-E,M1,,1278,,107,,2510,1472,1464,Diesel,M,1248,55,,,,,,,3
